phase,t_sim,t_phase,pose_t_sim,east_m,north_m,up_m,tilt_deg,lean_bearing_deg
settle,18.2080,0.0000,18.2000,0.0000,0.0000,0.2400,0.0000,0.000
settle,18.3120,0.1040,18.3000,0.0000,0.0000,0.2400,0.0000,0.000
settle,18.4120,0.2040,18.4000,0.0000,0.0000,0.2400,0.0000,0.000
settle,18.5160,0.3080,18.5000,0.0000,0.0000,0.2400,0.0000,0.000
settle,18.6160,0.4080,18.6000,0.0000,0.0000,0.2400,0.0000,0.000
settle,18.7160,0.5080,18.7000,0.0000,0.0000,0.2400,0.0000,0.000
settle,18.8160,0.6080,18.8000,0.0000,0.0000,0.2400,0.0000,0.000
settle,18.9160,0.7080,18.9000,0.0000,0.0000,0.2400,0.0000,0.000
settle,19.0200,0.8120,19.0000,0.0000,0.0000,0.2400,0.0000,0.000
settle,19.1200,0.9120,19.1200,0.0000,0.0000,0.2400,0.0000,0.000
settle,19.2200,1.0120,19.2200,0.0000,0.0000,0.2400,0.0000,0.000
settle,19.3200,1.1120,19.3200,0.0000,0.0000,0.2400,0.0000,0.000
settle,19.4200,1.2120,19.4200,0.0000,0.0000,0.2400,0.0000,0.000
settle,19.5240,1.3160,19.5200,0.0000,0.0000,0.2400,0.0000,0.000
settle,19.6240,1.4160,19.6200,0.0000,0.0000,0.2400,0.0000,0.000
settle,19.7280,1.5200,19.7200,0.0000,0.0000,0.2400,0.0000,0.000
settle,19.8280,1.6200,19.8200,0.0000,0.0000,0.2400,0.0000,0.000
settle,19.9280,1.7200,19.9200,0.0000,0.0000,0.2400,0.0000,0.000
settle,20.0160,1.8080,20.0120,0.0000,0.0000,0.2400,0.0000,0.000
settle,20.1080,1.9000,20.1040,0.0000,0.0000,0.2400,0.0000,0.000
settle,20.2000,1.9920,20.1880,0.0000,0.0000,0.2400,0.0000,0.000
settle,20.3000,2.0920,20.2880,0.0000,0.0000,0.2400,0.0000,0.000
settle,20.4000,2.1920,20.3880,0.0000,0.0000,0.2400,0.0000,0.000
settle,20.5000,2.2920,20.4880,0.0000,0.0000,0.2400,0.0000,0.000
settle,20.6040,2.3960,20.5880,0.0000,0.0000,0.2400,0.0000,0.000
