t_s,temp_c,throttled_hex,arm_hz
375.7,51.25,0x0,2400030464
377.72,50.7,0x0,2400020480
379.72,51.25,0x0,1900016256
381.72,50.7,0x0,1900016256
383.73,49.05,0x0,1900016256
385.75,49.6,0x0,2400020480
387.77,50.7,0x0,2400027136
389.77,51.25,0x0,2400020480
391.77,50.15,0x0,1900029440
393.77,49.05,0x0,1900029440
395.78,49.6,0x0,2400033792
397.8,50.15,0x0,2400020480
399.8,50.7,0x0,2400027136
401.8,49.6,0x0,1900016256
403.82,49.6,0x0,1900026112
405.83,49.6,0x0,2400033792
407.85,51.25,0x0,2400033792
409.87,51.25,0x0,1800022016
411.88,50.7,0x0,2400023808
413.9,50.15,0x0,2400030464
415.9,50.15,0x0,1900026112
417.9,49.05,0x0,1900019584
419.92,51.8,0x0,2400023808
421.92,51.25,0x0,2400017408
423.93,50.15,0x0,2400027136
425.93,50.7,0x0,2400023808
427.95,50.7,0x0,2400033792
429.96,50.15,0x0,2400017408
431.97,50.15,0x0,1900022784
433.98,50.7,0x0,2400033792
436.0,51.25,0x0,2400020480
438.0,51.25,0x0,2400033792
440.0,51.25,0x0,2400033792
442.02,51.25,0x0,2400027136
444.03,51.25,0x0,2400033792
446.03,50.7,0x0,1900016256
448.05,50.15,0x0,2400030464
450.05,51.8,0x0,2400023808
452.06,50.7,0x0,2400033792
454.07,50.15,0x0,1900019584
456.08,51.25,0x0,2400023808
458.1,51.25,0x0,2400033792
460.1,50.15,0x0,1900016256
462.12,50.15,0x0,1900029440
464.13,51.25,0x0,2400030464
466.15,50.15,0x0,2400027136
468.15,50.7,0x0,2400033792
470.17,50.15,0x0,2400020480
472.18,51.8,0x0,2400037120
474.18,50.7,0x0,1900022784
476.2,50.15,0x0,1900016256
478.22,51.25,0x0,2400023808
480.22,50.15,0x0,2400023808
482.22,50.15,0x0,2400033792
484.23,51.25,0x0,2400027136
486.23,50.7,0x0,2400033792
488.23,50.15,0x0,1900016256
490.25,51.25,0x0,2400030464
492.25,50.7,0x0,2400020480
494.25,50.15,0x0,1900022784
496.26,51.25,0x0,2400020480
498.28,51.25,0x0,2400033792
500.28,50.7,0x0,1900022784
502.3,50.15,0x0,1900016256
504.3,50.15,0x0,1900022784
506.3,50.15,0x0,1900029440
508.32,50.15,0x0,2400027136
510.32,51.25,0x0,2400033792
512.33,51.25,0x0,2400033792
514.33,50.15,0x0,2400023808
516.35,50.7,0x0,2400027136
518.35,51.25,0x0,2400033792
520.36,50.15,0x0,2400023808
522.37,50.15,0x0,2400020480
524.38,51.25,0x0,2400027136
526.38,49.6,0x0,2400020480
528.4,50.7,0x0,2400033792
530.4,50.15,0x0,1900019584
532.42,51.8,0x0,2400023808
534.43,51.25,0x0,2400037120
536.43,51.25,0x0,1900026112
538.45,50.7,0x0,2400030464
540.45,51.25,0x0,2400020480
542.46,50.7,0x0,2400027136
544.46,51.25,0x0,2400020480
546.48,51.25,0x0,2400033792
548.48,51.25,0x0,1900019584
550.48,50.15,0x0,1900026112
552.5,51.25,0x0,2400030464
554.52,50.7,0x0,2400030464
556.53,51.8,0x0,2400030464
558.53,50.7,0x0,2400030464
560.53,51.8,0x0,2400030464
562.53,49.6,0x0,1900026112
564.55,50.7,0x0,2400020480
566.56,50.15,0x0,2400020480
568.57,51.25,0x0,1800015360
570.58,50.15,0x0,2400017408
572.58,51.25,0x0,2400030464
