t_s,temp_c,throttled_hex,arm_hz
376.45,57.85,0x0,2400033792
378.45,56.75,0x0,2400030464
380.46,56.75,0x0,2400020480
382.47,57.85,0x0,2400020480
384.5,57.3,0x0,2400033792
386.52,57.85,0x0,2400017408
388.53,56.75,0x0,2400027136
390.54,57.85,0x0,2400027136
392.54,57.85,0x0,2400020480
394.56,56.2,0x0,2400023808
396.57,57.85,0x0,2400033792
398.59,57.85,0x0,2400020480
400.6,57.85,0x0,2400030464
402.62,58.4,0x0,2400027136
404.63,56.75,0x0,2400020480
406.63,58.95,0x0,2400037120
408.66,58.4,0x0,2400027136
410.67,57.85,0x0,2400033792
412.67,57.85,0x0,2400027136
414.67,57.85,0x0,2400020480
416.69,57.3,0x0,2400020480
418.71,58.95,0x0,2400033792
420.72,57.85,0x0,2400020480
422.72,57.85,0x0,2400033792
424.74,58.4,0x0,2400017408
426.75,57.85,0x0,2400020480
428.76,58.95,0x0,2400027136
430.78,58.4,0x0,2400030464
432.79,59.5,0x0,2400027136
434.8,59.5,0x0,2400030464
436.8,58.4,0x0,2400020480
438.82,57.85,0x0,2400027136
440.85,58.4,0x0,2400020480
442.87,58.4,0x0,2400017408
444.88,57.85,0x0,2400030464
446.88,58.95,0x0,2400027136
448.9,58.95,0x0,2400030464
450.91,57.85,0x0,2400027136
452.93,57.85,0x0,2400027136
454.95,57.3,0x0,2400030464
456.97,58.95,0x0,2400033792
458.99,59.5,0x0,2400027136
461.0,58.95,0x0,2400020480
463.01,58.95,0x0,2400027136
465.03,58.4,0x0,2400020480
467.03,57.3,0x0,2400020480
469.05,59.5,0x0,2400020480
471.07,57.85,0x0,2400037120
473.08,58.95,0x0,2400017408
475.1,58.4,0x0,2400023808
477.11,58.95,0x0,2400020480
479.13,59.5,0x0,2400030464
481.15,58.95,0x0,2400020480
483.17,58.95,0x0,2400033792
485.17,58.4,0x0,2400033792
487.18,58.95,0x0,2400027136
489.21,58.95,0x0,2400033792
491.23,58.4,0x0,2400017408
493.25,59.5,0x0,2400033792
495.27,59.5,0x0,2400033792
497.29,58.95,0x0,2400037120
499.31,59.5,0x0,2400033792
501.32,59.5,0x0,2400033792
503.35,59.5,0x0,2400030464
505.36,58.95,0x0,2400037120
507.37,58.4,0x0,2400027136
509.4,58.95,0x0,2400030464
511.42,58.95,0x0,2400027136
513.45,58.95,0x0,2400037120
515.46,58.4,0x0,2400037120
517.46,58.95,0x0,2400020480
519.46,57.85,0x0,2400033792
521.48,57.85,0x0,2400027136
523.5,58.95,0x0,2400033792
525.51,57.85,0x0,2400037120
527.53,57.85,0x0,2400017408
529.55,57.85,0x0,2400020480
531.56,56.75,0x0,2400033792
533.57,57.3,0x0,2400033792
535.57,56.2,0x0,2400023808
537.59,57.3,0x0,2400023808
539.61,57.3,0x0,2400023808
541.61,57.85,0x0,2400033792
543.61,57.85,0x0,2400030464
545.63,57.3,0x0,2400033792
547.64,57.85,0x0,2400020480
549.65,58.4,0x0,2400030464
551.67,57.85,0x0,2400030464
553.67,56.2,0x0,2400027136
555.69,56.75,0x0,2400033792
557.7,57.3,0x0,2400020480
559.7,56.75,0x0,2400027136
561.73,57.85,0x0,2400030464
563.75,57.3,0x0,2400027136
565.75,55.65,0x0,2400030464
567.77,56.75,0x0,2400020480
569.78,56.75,0x0,2400030464
571.79,56.2,0x0,2400030464
573.8,56.75,0x0,2400033792
575.81,56.75,0x0,2400020480
577.83,56.75,0x0,2400027136
579.84,56.75,0x0,2400030464
581.86,55.65,0x0,2400020480
583.88,55.65,0x0,2400023808
585.88,56.2,0x0,2400020480
587.9,56.75,0x0,2400020480
589.93,56.2,0x0,2400033792
591.93,56.2,0x0,2400027136
593.94,56.2,0x0,2400017408
595.95,56.75,0x0,2400030464
597.97,56.75,0x0,2400033792
599.99,56.75,0x0,2400017408
602.0,57.3,0x0,2400027136
604.02,56.75,0x0,2400030464
606.05,56.75,0x0,2400020480
608.07,56.75,0x0,2400027136
610.1,56.2,0x0,2400033792
612.1,57.3,0x0,2400037120
614.11,56.2,0x0,2400020480
616.13,55.65,0x0,2400030464
618.13,56.2,0x0,2400033792
620.14,57.3,0x0,2400030464
622.15,56.75,0x0,2400020480
624.17,57.3,0x0,2400033792
626.19,58.4,0x0,2400027136
628.2,57.85,0x0,2400033792
630.21,57.3,0x0,2400020480
632.23,58.4,0x0,2400027136
634.25,57.3,0x0,2400037120
636.28,56.2,0x0,2400017408
638.29,57.3,0x0,2400033792
640.3,57.3,0x0,2400020480
642.32,57.85,0x0,2400020480
644.32,57.85,0x0,2400030464
646.34,58.4,0x0,2400033792
648.35,56.75,0x0,2400020480
650.36,57.85,0x0,2400020480
652.38,57.3,0x0,2400020480
654.39,58.4,0x0,2400020480
656.4,56.75,0x0,2400027136
658.41,57.85,0x0,2400033792
660.41,57.85,0x0,2400030464
662.43,58.4,0x0,2400030464
664.46,57.85,0x0,2400027136
666.48,58.4,0x0,2400030464
668.5,57.85,0x0,2400020480
670.52,57.3,0x0,2400030464
672.53,57.85,0x0,2400033792
674.56,57.85,0x0,2400020480
676.58,57.85,0x0,2400033792
678.58,58.4,0x0,2400020480
680.59,58.95,0x0,2400020480
682.6,57.3,0x0,2400027136
684.62,57.85,0x0,2400030464
686.65,57.85,0x0,2400027136
688.67,57.85,0x0,2400033792
690.69,57.85,0x0,2400027136
692.7,58.4,0x0,2400017408
694.7,58.95,0x0,2400033792
696.72,58.4,0x0,2400030464
698.73,57.85,0x0,2400017408
700.74,58.95,0x0,2400027136
702.75,57.85,0x0,2400020480
704.76,57.85,0x0,2400027136
706.77,57.85,0x0,2400020480
708.79,58.95,0x0,2400030464
710.81,58.95,0x0,2400027136
712.81,58.95,0x0,2400020480
714.82,57.3,0x0,2400030464
716.85,58.95,0x0,2400020480
718.85,58.95,0x0,2400030464
720.87,58.95,0x0,2400037120
722.87,58.95,0x0,2400030464
724.89,58.95,0x0,2400033792
726.91,58.95,0x0,2400027136
728.92,58.95,0x0,2400020480
730.93,58.4,0x0,2400020480
732.95,58.95,0x0,2400027136
734.96,59.5,0x0,2400023808
736.96,59.5,0x0,2400027136
738.98,57.85,0x0,2400020480
740.99,58.95,0x0,2400033792
743.01,58.95,0x0,2400030464
745.04,58.95,0x0,2400027136
747.06,58.4,0x0,2400027136
749.06,59.5,0x0,2400033792
