background,attitude_axis,frame,gt_range,gcx,gcy,gbearing_deg,n_boxes,any_hit,top1_hit,target_hit_rank,top1_is_phantom
sky,on,sky_level_000066_r008.0_pos,8.0,640.0,333.7,-0.0,18,1,1,1,0
sky,on,sky_level_000067_r008.0_pos,8.0,639.9,333.3,-0.0,17,1,1,1,0
sky,on,sky_level_000068_r008.0_pos,8.0,639.9,333.0,-0.0,13,1,1,1,0
sky,on,sky_level_000069_r008.0_pos,8.0,639.9,332.8,-0.0,20,1,1,1,0
sky,on,sky_level_000070_r008.0_pos,8.0,639.9,332.6,-0.0,10,1,1,1,0
sky,on,sky_level_000071_r008.0_pos,8.0,640.1,332.6,+0.0,9,1,1,1,0
sky,on,sky_level_000072_r008.0_pos,8.0,640.1,332.8,+0.0,25,1,1,1,0
sky,on,sky_level_000073_r008.0_pos,8.0,640.2,333.3,+0.0,16,1,1,1,0
sky,on,sky_level_000074_r008.0_pos,8.0,640.2,334.0,+0.0,15,1,1,1,0
sky,on,sky_level_000075_r008.0_pos,8.0,640.1,334.7,+0.0,12,1,1,1,0
sky,on,sky_level_000076_r008.0_pos,8.0,639.9,335.5,-0.0,12,1,1,1,0
sky,on,sky_level_000077_r008.0_pos,8.0,639.6,336.0,-0.0,15,1,1,1,0
sky,on,sky_level_000078_r007.9_pos,7.9,639.4,336.2,-0.1,25,1,1,1,0
sky,on,sky_level_000079_r007.9_pos,7.9,639.1,336.3,-0.1,20,1,1,1,0
sky,on,sky_level_000080_r007.9_pos,7.9,638.7,336.3,-0.1,16,1,1,1,0
sky,on,sky_level_000081_r007.9_pos,7.9,638.4,336.3,-0.2,13,1,1,1,0
sky,on,sky_level_000082_r007.9_pos,7.9,638.2,336.0,-0.2,10,1,1,1,0
sky,on,sky_level_000083_r007.9_pos,7.9,638.0,335.6,-0.2,10,1,1,1,0
sky,on,sky_level_000084_r007.9_pos,7.9,637.9,335.2,-0.2,10,1,1,1,0
sky,on,sky_level_000085_r008.0_pos,8.0,637.8,334.8,-0.2,17,1,1,1,0
sky,on,sky_level_000086_r008.0_pos,8.0,637.7,334.4,-0.2,23,1,1,1,0
sky,on,sky_level_000087_r008.0_pos,8.0,637.4,334.3,-0.3,17,1,1,1,0
sky,off,sky_level_000088_r008.0_pos,8.0,485.0,329.6,-16.0,2,0,0,,1
sky,off,sky_level_000089_r008.0_pos,8.0,485.0,329.6,-16.0,10,1,1,1,0
sky,off,sky_level_000090_r008.0_pos,8.0,485.1,329.6,-16.0,9,1,1,1,0
sky,off,sky_level_000091_r008.0_pos,8.0,485.1,329.8,-16.0,9,1,1,1,0
sky,off,sky_level_000092_r008.0_pos,8.0,485.1,329.6,-16.0,16,1,1,1,0
sky,off,sky_level_000093_r008.0_pos,8.0,484.8,329.5,-16.0,16,1,1,1,0
sky,off,sky_level_000094_r008.0_pos,8.0,484.4,329.6,-16.1,12,0,0,,1
sky,off,sky_level_000095_r008.0_pos,8.0,484.1,329.8,-16.1,18,1,1,3,0
sky,off,sky_level_000096_r008.0_pos,8.0,484.1,330.2,-16.1,15,1,1,1,0
sky,off,sky_level_000097_r008.0_pos,8.0,484.1,330.6,-16.1,10,1,1,1,0
sky,off,sky_level_000098_r008.0_pos,8.0,484.3,331.0,-16.1,10,1,1,1,0
sky,off,sky_level_000099_r008.0_pos,8.0,484.7,331.5,-16.0,18,1,1,1,0
sky,off,sky_level_000100_r008.0_pos,8.0,485.1,331.6,-16.0,15,1,1,1,0
sky,off,sky_level_000101_r008.0_pos,8.0,485.4,331.5,-16.0,9,1,0,6,1
sky,off,sky_level_000102_r008.0_pos,8.0,485.7,331.1,-15.9,18,1,1,1,0
sky,off,sky_level_000103_r008.0_pos,8.0,485.7,330.5,-15.9,15,1,1,1,0
sky,off,sky_level_000104_r008.0_pos,8.0,485.5,330.0,-16.0,17,1,1,1,0
sky,off,sky_level_000105_r008.0_pos,8.0,485.1,330.1,-16.0,12,1,1,1,0
sky,off,sky_level_000106_r008.0_pos,8.0,484.8,330.5,-16.0,19,1,1,1,0
sky,off,sky_level_000107_r008.0_pos,8.0,484.7,331.1,-16.1,16,1,1,1,0
sky,off,sky_level_000108_r008.0_pos,8.0,484.7,331.8,-16.0,2,0,0,,1
sky,off,sky_level_000109_r008.0_pos,8.0,484.9,332.7,-16.0,10,1,1,1,0
sky,off,sky_level_000110_r008.0_pos,8.0,485.1,333.4,-16.0,10,1,1,1,0
sky,on,sky_level_000111_r010.0_pos,10.0,640.0,335.4,+0.0,9,0,0,,1
sky,on,sky_level_000112_r010.0_pos,10.0,640.0,335.8,+0.0,14,1,1,1,0
sky,on,sky_level_000113_r010.0_pos,10.0,639.9,336.1,-0.0,26,1,1,3,0
sky,on,sky_level_000114_r010.0_pos,10.0,639.5,336.3,-0.0,15,1,1,1,0
sky,on,sky_level_000115_r010.0_pos,10.0,639.1,336.3,-0.1,11,1,1,1,0
sky,on,sky_level_000116_r010.0_pos,10.0,638.6,336.3,-0.2,15,1,1,1,0
sky,on,sky_level_000117_r010.0_pos,10.0,638.2,336.1,-0.2,9,1,1,1,0
sky,on,sky_level_000118_r010.0_pos,10.0,637.8,335.6,-0.2,9,1,1,1,0
sky,on,sky_level_000119_r010.0_pos,10.0,637.6,334.9,-0.2,14,1,1,1,0
sky,on,sky_level_000120_r010.0_pos,10.0,637.6,334.2,-0.3,16,1,1,1,0
sky,on,sky_level_000121_r010.0_pos,10.0,637.7,333.6,-0.2,14,1,1,1,0
sky,on,sky_level_000122_r010.0_pos,10.0,637.8,333.1,-0.2,15,1,1,1,0
