t,phase,detected,meas_x,meas_y,meas_z,meas_range,bearing_rad,cmd_vf,cmd_vr,cmd_vd,cmd_yawrate_deg_s,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range,settled
1.695,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0000,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
1.896,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0010,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
2.096,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0020,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
2.299,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
2.499,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0040,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
2.700,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0040,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
2.901,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0040,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
3.102,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
3.302,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
3.503,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0020,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
3.705,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0020,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
3.907,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0000,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
4.108,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0000,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
4.308,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0000,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
4.511,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0000,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
4.711,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0010,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
4.912,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
5.113,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
5.314,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
5.516,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0040,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
5.717,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
5.918,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
6.120,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
6.321,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0040,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
6.522,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
6.723,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0030,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
6.924,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0040,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
7.125,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0060,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
7.326,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0080,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
7.528,TAKEOFF,1,0.0301,-0.2759,4.9660,4.9737,0.00607,,,,,0.0100,0.1200,0.0300,0.2290,5.0000,0.0000,0.5000,4.8876,0
7.729,TAKEOFF,1,0.0305,-0.2758,4.9666,4.9744,0.00613,,,,,0.0110,0.1200,0.0306,0.2293,5.0000,0.0000,0.5000,4.8876,0
7.930,TAKEOFF,1,0.0338,-0.2743,4.9584,4.9661,0.00681,,,,,0.0130,0.1200,0.0320,0.2300,5.0000,0.0000,0.5000,4.8876,0
8.131,TAKEOFF,1,0.0394,-0.2737,4.9486,4.9564,0.00795,,,,,0.0170,0.1200,0.0356,0.2316,5.0000,0.0000,0.5000,4.8875,0
8.333,TAKEOFF,1,0.0457,-0.2791,4.9692,4.9773,0.00919,,,,,0.0240,0.1202,0.0428,0.2359,5.0000,0.0000,0.5000,4.8871,0
8.534,TAKEOFF,1,0.0566,-0.2723,4.9705,4.9783,0.01140,,,,,0.0370,0.1208,0.0565,0.2466,5.0000,0.0000,0.5000,4.8861,0
8.736,TAKEOFF,1,0.0708,-0.2538,4.9646,4.9716,0.01426,,,,,0.0580,0.1219,0.0765,0.2651,5.0000,0.0000,0.5000,4.8843,0
8.937,TAKEOFF,1,0.0869,-0.2298,4.9673,4.9733,0.01749,,,,,0.0820,0.1231,0.0964,0.2866,5.0000,0.0000,0.5000,4.8825,0
9.139,TAKEOFF,1,0.1098,-0.1942,4.9339,4.9390,0.02226,,,,,0.1130,0.1244,0.1182,0.3149,5.0000,0.0000,0.5000,4.8805,0
9.339,TAKEOFF,1,0.1276,-0.1647,4.9547,4.9591,0.02574,,,,,0.1510,0.1256,0.1391,0.3495,5.0000,0.0000,0.5000,4.8787,0
9.540,TAKEOFF,1,0.1465,-0.1321,4.9467,4.9507,0.02961,,,,,0.1860,0.1265,0.1555,0.3857,5.0000,0.0000,0.5000,4.8773,0
9.741,TAKEOFF,1,0.1626,-0.0911,4.9585,4.9620,0.03279,,,,,0.2260,0.1272,0.1670,0.4213,5.0000,0.0000,0.5000,4.8763,0
9.943,TAKEOFF,1,0.1720,-0.0559,4.9588,4.9621,0.03468,,,,,0.2660,0.1278,0.1759,0.4642,5.0000,0.0000,0.5000,4.8755,0
10.145,TAKEOFF,1,0.1800,-0.0094,4.9635,4.9668,0.03626,,,,,0.3050,0.1283,0.1804,0.4996,5.0000,0.0000,0.5000,4.8750,0
10.346,TAKEOFF,1,0.1834,0.0166,4.9447,4.9481,0.03707,,,,,0.3260,0.1286,0.1814,0.5170,5.0000,0.0000,0.5000,4.8748,0
10.547,TAKEOFF,1,0.1821,0.0266,4.9533,4.9567,0.03675,,,,,0.3260,0.1286,0.1797,0.5210,5.0000,0.0000,0.5000,4.8748,0
10.748,TAKEOFF,1,0.1780,0.0302,4.9619,4.9651,0.03586,,,,,0.3260,0.1281,0.1753,0.5263,5.0000,0.0000,0.5000,4.8751,0
10.949,TAKEOFF,1,0.1717,0.0370,4.9539,4.9570,0.03464,,,,,0.3390,0.1274,0.1684,0.5421,5.0000,0.0000,0.5000,4.8757,0
11.150,TAKEOFF,1,0.1647,0.0562,4.9365,4.9396,0.03335,,,,,0.3600,0.1266,0.1611,0.5643,5.0000,0.0000,0.5000,4.8765,0
11.352,TAKEOFF,1,0.1554,0.0846,4.9450,4.9482,0.03141,,,,,0.3970,0.1257,0.1524,0.5935,5.0000,0.0000,0.5000,4.8776,0
11.552,TAKEOFF,1,0.1464,0.1146,4.9502,4.9537,0.02956,,,,,0.4320,0.1247,0.1425,0.6263,5.0000,0.0000,0.5000,4.8790,0
11.754,TAKEOFF,1,0.1380,0.1393,4.9531,4.9569,0.02785,,,,,0.4670,0.1238,0.1337,0.6546,5.0000,0.0000,0.5000,4.8805,0
11.955,TAKEOFF,1,0.1256,0.1733,4.9538,4.9584,0.02536,,,,,0.4980,0.1231,0.1241,0.6844,5.0000,0.0000,0.5000,4.8820,0
12.157,TAKEOFF,1,0.1177,0.1972,4.9752,4.9805,0.02365,,,,,0.5290,0.1226,0.1145,0.7144,5.0000,0.0000,0.5000,4.8835,0
12.358,TAKEOFF,1,0.1089,0.2233,4.9511,4.9573,0.02200,,,,,0.5560,0.1224,0.1059,0.7422,5.0000,0.0000,0.5000,4.8847,0
12.559,TAKEOFF,1,0.0996,0.2555,4.9352,4.9428,0.02018,,,,,0.5880,0.1226,0.0990,0.7659,5.0000,0.0000,0.5000,4.8856,0
12.760,TAKEOFF,1,0.0931,0.2821,4.9677,4.9766,0.01874,,,,,0.6160,0.1231,0.0921,0.7917,5.0000,0.0000,0.5000,4.8865,0
12.961,TAKEOFF,1,0.0882,0.3106,4.9794,4.9898,0.01772,,,,,0.6400,0.1235,0.0866,0.8145,5.0000,0.0000,0.5000,4.8874,0
13.162,TAKEOFF,1,0.0820,0.3387,4.9507,4.9630,0.01656,,,,,0.6620,0.1238,0.0823,0.8342,5.0000,0.0000,0.5000,4.8883,0
13.363,TAKEOFF,1,0.0794,0.3611,4.9680,4.9818,0.01598,,,,,0.6800,0.1239,0.0782,0.8554,5.0000,0.0000,0.5000,4.8897,0
13.564,TAKEOFF,1,0.0759,0.3850,4.9404,4.9559,0.01536,,,,,0.7000,0.1235,0.0750,0.8746,5.0000,0.0000,0.5000,4.8914,0
13.765,TAKEOFF,1,0.0729,0.4012,4.9268,4.9437,0.01480,,,,,0.7170,0.1227,0.0721,0.8939,5.0000,0.0000,0.5000,4.8937,0
13.967,TAKEOFF,1,0.0711,0.4185,4.9599,4.9780,0.01433,,,,,0.7320,0.1216,0.0698,0.9100,5.0000,0.0000,0.5000,4.8961,0
14.167,TAKEOFF,1,0.0700,0.4372,4.9604,4.9801,0.01411,,,,,0.7480,0.1201,0.0673,0.9269,5.0000,0.0000,0.5000,4.8990,0
14.369,TAKEOFF,1,0.0665,0.4470,4.9735,4.9940,0.01337,,,,,0.7630,0.1183,0.0644,0.9440,5.0000,0.0000,0.5000,4.9023,0
14.570,TAKEOFF,1,0.0640,0.4562,4.9833,5.0046,0.01285,,,,,0.7780,0.1167,0.0616,0.9580,5.0000,0.0000,0.5000,4.9052,0
14.771,TAKEOFF,1,0.0594,0.4657,4.9854,5.0075,0.01192,,,,,0.7900,0.1151,0.0582,0.9728,5.0000,0.0000,0.5000,4.9081,0
14.972,TAKEOFF,1,0.0562,0.4733,4.9713,4.9941,0.01130,,,,,0.8010,0.1142,0.0549,0.9855,5.0000,0.0000,0.5000,4.9102,0
15.006,GUIDE,1,0.0562,0.4733,4.9713,4.9941,0.01130,1.0000,0.0000,-0.1970,0.9710,0.8030,0.1141,0.0541,0.9885,5.0000,0.0000,0.5000,4.9106,0
15.056,GUIDE,1,0.0532,0.4773,4.9709,4.9941,0.01069,1.0000,0.0000,-0.1940,0.9190,0.8060,0.1140,0.0533,0.9915,5.0000,0.0000,0.5000,4.9110,0
15.107,GUIDE,1,0.0521,0.4813,4.9720,4.9955,0.01047,1.0000,0.0000,-0.1910,0.9001,0.8090,0.1139,0.0525,0.9945,5.0000,0.0000,0.5000,4.9113,0
15.159,GUIDE,1,0.0516,0.4845,4.9803,5.0041,0.01036,1.0000,0.0000,-0.1870,0.8906,0.8130,0.1139,0.0516,0.9969,5.0000,0.0000,0.5000,4.9116,0
15.209,GUIDE,1,0.0516,0.4407,4.9749,4.9946,0.01037,1.0000,0.0000,-0.1820,0.8915,0.8180,0.1140,0.0509,0.9985,5.0000,0.0000,0.5000,4.9117,0
15.260,GUIDE,1,0.0506,0.3464,4.9906,5.0029,0.01013,1.0000,0.0000,-0.1760,0.8708,0.8240,0.1149,0.0496,1.0022,5.0000,0.0000,0.5000,4.9111,0
15.311,GUIDE,1,0.0507,0.2454,4.9985,5.0048,0.01013,1.0000,0.0000,-0.1730,0.8709,0.8300,0.1162,0.0488,1.0050,5.0000,0.0000,0.5000,4.9101,0
15.361,GUIDE,1,0.0485,0.1524,4.9994,5.0020,0.00970,1.0000,0.0000,-0.1660,0.8334,0.8340,0.1188,0.0479,1.0088,5.0000,0.0000,0.5000,4.9079,0
15.412,GUIDE,1,0.0485,0.1524,4.9994,5.0020,0.00970,1.0000,0.0000,-0.1660,0.8334,0.8340,0.1188,0.0479,1.0088,5.0000,0.0000,0.5000,4.9079,0
15.465,GUIDE,1,0.0467,0.0634,4.9962,4.9969,0.00934,1.0000,0.0000,-0.1590,0.8025,0.8410,0.1221,0.0472,1.0125,5.0000,0.0000,0.5000,4.9050,0
