t,t_sim,phase,law,detected,meas_x,meas_y,meas_z,meas_range,meas_conf,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range,ext_x,ext_y,ext_z,ext_fresh,tgt_n_hat,tgt_e_hat,tgt_vn_hat,tgt_ve_hat,ext_age_s,cue_stale,coast_phase,ekf_dn_hat,ekf_de_hat,ekf_dvn_hat,ekf_dve_hat,ekf_p_diag0,ekf_p_diag1,ekf_p_diag2,ekf_p_diag3,meas_source
2.613,9.944,TAKEOFF,pronav,0,,,,,,,96.567,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
2.815,10.068,TAKEOFF,pronav,0,,,,,,,96.572,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
3.016,10.192,TAKEOFF,pronav,0,,,,,,,96.577,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
3.217,10.300,TAKEOFF,pronav,0,,,,,,,96.579,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
3.419,10.420,TAKEOFF,pronav,0,,,,,,,96.581,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
3.628,10.528,TAKEOFF,pronav,0,,,,,,,96.580,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
3.828,10.636,TAKEOFF,pronav,0,,,,,,,96.579,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
4.029,10.760,TAKEOFF,pronav,0,,,,,,,96.575,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
4.231,10.892,TAKEOFF,pronav,0,,,,,,,96.576,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
4.431,11.012,TAKEOFF,pronav,0,,,,,,,96.578,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
4.632,11.120,TAKEOFF,pronav,0,,,,,,,96.578,,,,,,,0.0000,,,,,0.0030,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
4.833,11.236,TAKEOFF,pronav,0,,,,,,,96.576,,,,,,,0.0000,,,,,0.0050,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
5.034,11.356,TAKEOFF,pronav,0,,,,,,,96.571,,,,,,,0.0000,,,,,0.0060,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
5.234,11.452,TAKEOFF,pronav,0,,,,,,,96.568,,,,,,,0.0000,,,,,0.0060,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
5.438,11.584,TAKEOFF,pronav,0,,,,,,,96.562,,,,,,,0.0000,,,,,0.0050,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
5.639,11.696,TAKEOFF,pronav,0,,,,,,,96.559,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
5.840,11.816,TAKEOFF,pronav,0,,,,,,,96.561,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
6.042,11.932,TAKEOFF,pronav,0,,,,,,,96.568,,,,,,,0.0000,,,,,-0.0040,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
6.242,12.052,TAKEOFF,pronav,0,,,,,,,96.572,,,,,,,0.0000,,,,,-0.0060,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
6.444,12.164,TAKEOFF,pronav,0,,,,,,,96.572,,,,,,,0.0000,,,,,-0.0060,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
6.645,12.280,TAKEOFF,pronav,0,,,,,,,96.561,,,,,,,0.0000,,,,,-0.0060,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
6.846,12.396,TAKEOFF,pronav,0,,,,,,,96.547,,,,,,,0.0000,,,,,-0.0040,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
7.047,12.516,TAKEOFF,pronav,0,,,,,,,96.536,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,30.0250,0.5000,30.6672,,,,,,,,,,,,,,,,,,,,
