t,t_sim,phase,law,detected,meas_x,meas_y,meas_z,meas_range,meas_conf,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range,ext_x,ext_y,ext_z,ext_fresh,tgt_n_hat,tgt_e_hat,tgt_vn_hat,tgt_ve_hat,ext_age_s,cue_stale,coast_phase,ekf_dn_hat,ekf_de_hat,ekf_dvn_hat,ekf_dve_hat,ekf_p_diag0,ekf_p_diag1,ekf_p_diag2,ekf_p_diag3,meas_source
2.369,9.972,TAKEOFF,pronav,0,,,,,,,96.476,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
2.571,10.100,TAKEOFF,pronav,0,,,,,,,96.475,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
2.774,10.200,TAKEOFF,pronav,0,,,,,,,96.473,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
2.975,10.328,TAKEOFF,pronav,0,,,,,,,96.472,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
3.176,10.448,TAKEOFF,pronav,0,,,,,,,96.472,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
3.377,10.564,TAKEOFF,pronav,0,,,,,,,96.473,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
3.578,10.696,TAKEOFF,pronav,0,,,,,,,96.477,,,,,,,0.0000,,,,,0.0050,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
3.779,10.784,TAKEOFF,pronav,0,,,,,,,96.482,,,,,,,0.0000,,,,,0.0060,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
3.980,10.904,TAKEOFF,pronav,0,,,,,,,96.488,,,,,,,0.0000,,,,,0.0070,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
4.181,11.024,TAKEOFF,pronav,0,,,,,,,96.492,,,,,,,0.0000,,,,,0.0070,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
4.386,11.156,TAKEOFF,pronav,0,,,,,,,96.500,,,,,,,0.0000,,,,,0.0080,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
4.588,11.272,TAKEOFF,pronav,0,,,,,,,96.503,,,,,,,0.0000,,,,,0.0070,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
4.790,11.372,TAKEOFF,pronav,0,,,,,,,96.506,,,,,,,0.0000,,,,,0.0060,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
4.990,11.488,TAKEOFF,pronav,0,,,,,,,96.510,,,,,,,0.0000,,,,,0.0040,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
5.192,11.620,TAKEOFF,pronav,0,,,,,,,96.509,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
5.393,11.740,TAKEOFF,pronav,0,,,,,,,96.504,,,,,,,0.0000,,,,,-0.0010,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
5.595,11.840,TAKEOFF,pronav,0,,,,,,,96.495,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
5.796,11.948,TAKEOFF,pronav,0,,,,,,,96.490,,,,,,,0.0000,,,,,-0.0030,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
5.996,12.080,TAKEOFF,pronav,0,,,,,,,96.482,,,,,,,0.0000,,,,,-0.0050,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
6.198,12.200,TAKEOFF,pronav,0,,,,,,,96.473,,,,,,,0.0000,,,,,-0.0060,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
6.399,12.312,TAKEOFF,pronav,0,,,,,,,96.463,,,,,,,0.0000,,,,,-0.0060,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
6.609,12.412,TAKEOFF,pronav,0,,,,,,,96.457,,,,,,,0.0000,,,,,-0.0050,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
6.810,12.544,TAKEOFF,pronav,0,,,,,,,96.449,,,,,,,0.0000,,,,,-0.0050,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
7.012,12.664,TAKEOFF,pronav,0,,,,,,,96.445,,,,,,,0.0000,,,,,-0.0050,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
7.213,12.784,TAKEOFF,pronav,0,,,,,,,96.447,,,,,,,0.0000,,,,,-0.0040,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
7.413,12.872,TAKEOFF,pronav,0,,,,,,,96.449,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
7.614,13.004,TAKEOFF,pronav,0,,,,,,,96.452,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
7.815,13.132,TAKEOFF,pronav,0,,,,,,,96.458,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,29.1480,0.5000,29.8100,,,,,,,,,,,,,,,,,,,,
