t,t_sim,phase,law,detected,meas_x,meas_y,meas_z,meas_range,meas_conf,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range,ext_x,ext_y,ext_z,ext_fresh,tgt_n_hat,tgt_e_hat,tgt_vn_hat,tgt_ve_hat,ext_age_s,cue_stale,coast_phase,ekf_dn_hat,ekf_de_hat,ekf_dvn_hat,ekf_dve_hat,ekf_p_diag0,ekf_p_diag1,ekf_p_diag2,ekf_p_diag3,meas_source
4.094,10.952,TAKEOFF,pronav,0,,,,,,,96.479,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
4.296,11.052,TAKEOFF,pronav,0,,,,,,,96.478,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
4.497,11.168,TAKEOFF,pronav,0,,,,,,,96.477,,,,,,,0.0000,,,,,0.0030,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
4.697,11.288,TAKEOFF,pronav,0,,,,,,,96.477,,,,,,,0.0000,,,,,0.0050,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
4.898,11.416,TAKEOFF,pronav,0,,,,,,,96.475,,,,,,,0.0000,,,,,0.0060,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
5.098,11.520,TAKEOFF,pronav,0,,,,,,,96.471,,,,,,,0.0000,,,,,0.0080,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
5.300,11.620,TAKEOFF,pronav,0,,,,,,,96.467,,,,,,,0.0000,,,,,0.0100,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
5.501,11.752,TAKEOFF,pronav,0,,,,,,,96.462,,,,,,,0.0000,,,,,0.0150,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
5.702,11.868,TAKEOFF,pronav,0,,,,,,,96.460,,,,,,,0.0000,,,,,0.0200,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
5.903,11.980,TAKEOFF,pronav,0,,,,,,,96.461,,,,,,,0.0000,,,,,0.0240,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
6.104,12.080,TAKEOFF,pronav,0,,,,,,,96.462,,,,,,,0.0000,,,,,0.0290,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
6.305,12.196,TAKEOFF,pronav,0,,,,,,,96.460,,,,,,,0.0000,,,,,0.0330,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
6.506,12.312,TAKEOFF,pronav,0,,,,,,,96.458,,,,,,,0.0000,,,,,0.0360,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
6.708,12.444,TAKEOFF,pronav,0,,,,,,,96.459,,,,,,,0.0000,,,,,0.0390,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
6.910,12.560,TAKEOFF,pronav,0,,,,,,,96.461,,,,,,,0.0000,,,,,0.0410,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
7.111,12.640,TAKEOFF,pronav,0,,,,,,,96.461,,,,,,,0.0000,,,,,0.0430,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
7.312,12.768,TAKEOFF,pronav,0,,,,,,,96.463,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
7.513,12.876,TAKEOFF,pronav,0,,,,,,,96.462,,,,,,,0.0000,,,,,0.0030,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
7.715,13.004,TAKEOFF,pronav,0,,,,,,,96.459,,,,,,,0.0000,,,,,0.0060,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
7.916,13.124,TAKEOFF,pronav,0,,,,,,,96.456,,,,,,,0.0000,,,,,0.0100,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
8.117,13.212,TAKEOFF,pronav,0,,,,,,,96.455,,,,,,,0.0000,,,,,0.0130,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
8.319,13.336,TAKEOFF,pronav,0,,,,,,,96.453,,,,,,,0.0000,,,,,0.0170,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
8.521,13.464,TAKEOFF,pronav,0,,,,,,,96.454,,,,,,,0.0000,,,,,0.0210,0.1200,0.0300,0.2290,6.5000,28.1070,0.5000,28.7940,,,,,,,,,,,,,,,,,,,,
