t,t_sim,phase,law,detected,meas_x,meas_y,meas_z,meas_range,meas_conf,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range,ext_x,ext_y,ext_z,ext_fresh,tgt_n_hat,tgt_e_hat,tgt_vn_hat,tgt_ve_hat,ext_age_s,cue_stale,coast_phase,ekf_dn_hat,ekf_de_hat,ekf_dvn_hat,ekf_dve_hat,ekf_p_diag0,ekf_p_diag1,ekf_p_diag2,ekf_p_diag3,meas_source
3.970,10.952,TAKEOFF,pronav,0,,,,,,,96.449,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-28.3720,0.5000,29.1110,,,,,,,,,,,,,,,,,,,,
4.171,11.064,TAKEOFF,pronav,0,,,,,,,96.450,,,,,,,0.0000,,,,,-0.0040,0.1200,0.0300,0.2290,6.5000,-28.3720,0.5000,29.1110,,,,,,,,,,,,,,,,,,,,
4.373,11.188,TAKEOFF,pronav,0,,,,,,,96.452,,,,,,,0.0000,,,,,-0.0080,0.1200,0.0300,0.2290,6.5000,-28.3720,0.5000,29.1110,,,,,,,,,,,,,,,,,,,,
4.576,11.288,TAKEOFF,pronav,0,,,,,,,96.454,,,,,,,0.0000,,,,,-0.0110,0.1200,0.0300,0.2290,6.5000,-28.3720,0.5000,29.1110,,,,,,,,,,,,,,,,,,,,
4.778,11.416,TAKEOFF,pronav,0,,,,,,,96.455,,,,,,,0.0000,,,,,-0.0120,0.1200,0.0300,0.2290,6.5000,-28.3720,0.5000,29.1110,,,,,,,,,,,,,,,,,,,,
4.979,11.536,TAKEOFF,pronav,0,,,,,,,96.458,,,,,,,0.0000,,,,,-0.0140,0.1200,0.0300,0.2290,6.5000,-28.3720,0.5000,29.1110,,,,,,,,,,,,,,,,,,,,
5.180,11.652,TAKEOFF,pronav,0,,,,,,,96.458,,,,,,,0.0000,,,,,-0.0140,0.1200,0.0300,0.2290,6.5000,-28.3720,0.5000,29.1110,,,,,,,,,,,,,,,,,,,,
5.381,11.784,TAKEOFF,pronav,0,,,,,,,96.455,,,,,,,0.0000,,,,,-0.0130,0.1200,0.0300,0.2290,6.5000,-28.3720,0.5000,29.1110,,,,,,,,,,,,,,,,,,,,
5.583,11.876,TAKEOFF,pronav,0,,,,,,,96.454,,,,,,,0.0000,,,,,-0.0110,0.1200,0.0300,0.2290,6.5000,-28.3720,0.5000,29.1110,,,,,,,,,,,,,,,,,,,,
5.784,11.988,TAKEOFF,pronav,0,,,,,,,96.448,,,,,,,0.0000,,,,,-0.0090,0.1200,0.0300,0.2290,6.5000,-28.3720,0.5000,29.1110,,,,,,,,,,,,,,,,,,,,
