run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.882,26226,nan,0,0,,,,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260711T073026Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260711T073008Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260711T073008Z.log,weave,standard,857665
1,pronav,0.000,-12.000,30.025,256788,0.7860,1,1,8.886,26.783,16.92,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260711T073119Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260711T073101Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260711T073101Z.log,weave,standard,778181
2,pronav,0.000,12.000,-30.130,772247,2.1250,0,0,,,13.45,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260711T073226Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260711T073208Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260711T073208Z.log,weave,standard,832313
3,pronav,0.000,-12.000,28.107,776647,1.3450,1,1,7.109,26.529,14.71,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260711T073359Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260711T073342Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260711T073342Z.log,weave,standard,447246
4,pronav,0.000,12.000,-28.123,91162,1.8520,0,0,,,13.68,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260711T073509Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260711T073451Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260711T073451Z.log,weave,standard,791817
5,pronav,0.000,-12.000,29.571,33327,0.7050,0,1,7.212,27.577,22.02,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260711T073626Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260711T073609Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260711T073609Z.log,weave,standard,102230
6,pronav,0.000,12.000,-30.711,229259,2.0680,1,1,7.109,26.505,12.13,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260711T073733Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260711T073715Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260711T073715Z.log,weave,standard,955711
7,pronav,0.000,-12.000,28.498,631263,0.6370,1,1,8.294,24.568,14.62,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260711T073843Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260711T073825Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260711T073825Z.log,weave,standard,325326
