t,t_sim,phase,law,detected,meas_x,meas_y,meas_z,meas_range,meas_conf,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range,ext_x,ext_y,ext_z,ext_fresh,tgt_n_hat,tgt_e_hat,tgt_vn_hat,tgt_ve_hat,ext_age_s,cue_stale,coast_phase,ekf_dn_hat,ekf_de_hat,ekf_dvn_hat,ekf_dve_hat,ekf_p_diag0,ekf_p_diag1,ekf_p_diag2,ekf_p_diag3,meas_source
2.778,9.952,TAKEOFF,pronav,0,,,,,,,96.485,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-28.8820,0.5000,29.6088,,,,,,,,,,,,,,,,,,,,
2.978,10.068,TAKEOFF,pronav,0,,,,,,,96.481,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-28.8820,0.5000,29.6088,,,,,,,,,,,,,,,,,,,,
3.180,10.168,TAKEOFF,pronav,0,,,,,,,96.475,,,,,,,0.0000,,,,,-0.0010,0.1200,0.0300,0.2290,6.5000,-28.8820,0.5000,29.6088,,,,,,,,,,,,,,,,,,,,
3.383,10.288,TAKEOFF,pronav,0,,,,,,,96.470,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-28.8820,0.5000,29.6088,,,,,,,,,,,,,,,,,,,,
3.584,10.408,TAKEOFF,pronav,0,,,,,,,96.466,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,-28.8820,0.5000,29.6088,,,,,,,,,,,,,,,,,,,,
3.786,10.528,TAKEOFF,pronav,0,,,,,,,96.461,,,,,,,0.0000,,,,,0.0030,0.1200,0.0300,0.2290,6.5000,-28.8820,0.5000,29.6088,,,,,,,,,,,,,,,,,,,,
3.987,10.628,TAKEOFF,pronav,0,,,,,,,96.462,,,,,,,0.0000,,,,,0.0050,0.1200,0.0300,0.2290,6.5000,-28.8820,0.5000,29.6088,,,,,,,,,,,,,,,,,,,,
4.188,10.732,TAKEOFF,pronav,0,,,,,,,96.465,,,,,,,0.0000,,,,,0.0080,0.1200,0.0300,0.2290,6.5000,-28.8820,0.5000,29.6088,,,,,,,,,,,,,,,,,,,,
4.391,10.860,TAKEOFF,pronav,0,,,,,,,96.471,,,,,,,0.0000,,,,,0.0100,0.1200,0.0300,0.2290,6.5000,-28.8820,0.5000,29.6088,,,,,,,,,,,,,,,,,,,,
4.593,10.988,TAKEOFF,pronav,0,,,,,,,96.478,,,,,,,0.0000,,,,,0.0090,0.1200,0.0300,0.2290,6.5000,-28.8820,0.5000,29.6088,,,,,,,,,,,,,,,,,,,,
