t,phase,law,detected,meas_x,meas_y,meas_z,meas_range,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range
2.563,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.039,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
2.764,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.046,,,,,,,0.0000,,,,,-0.0010,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
2.967,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.053,,,,,,,0.0000,,,,,-0.0030,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.168,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.054,,,,,,,0.0000,,,,,-0.0040,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.369,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.053,,,,,,,0.0000,,,,,-0.0050,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.569,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.049,,,,,,,0.0000,,,,,-0.0060,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.770,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.049,,,,,,,0.0000,,,,,-0.0060,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.972,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.046,,,,,,,0.0000,,,,,-0.0060,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.173,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.045,,,,,,,0.0000,,,,,-0.0060,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.374,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.045,,,,,,,0.0000,,,,,-0.0050,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.575,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.043,,,,,,,0.0000,,,,,-0.0060,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.776,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.040,,,,,,,0.0000,,,,,-0.0060,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.978,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.040,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.178,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.041,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.379,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.040,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.581,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.041,,,,,,,0.0000,,,,,-0.0010,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.783,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.040,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.984,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.041,,,,,,,0.0000,,,,,-0.0030,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
