t,phase,law,detected,meas_x,meas_y,meas_z,meas_range,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range
2.262,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.921,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
2.462,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.914,,,,,,,0.0000,,,,,-0.0010,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
2.663,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.915,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
2.865,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.921,,,,,,,0.0000,,,,,-0.0030,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.066,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.929,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.267,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.933,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.469,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.933,,,,,,,0.0000,,,,,-0.0040,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.670,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.928,,,,,,,0.0000,,,,,-0.0070,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.872,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.923,,,,,,,0.0000,,,,,-0.0130,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.074,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.924,,,,,,,0.0000,,,,,-0.0170,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.275,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.934,,,,,,,0.0000,,,,,-0.0190,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.476,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.950,,,,,,,0.0000,,,,,-0.0200,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.677,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.968,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.879,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.979,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.080,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.984,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.281,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.982,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.482,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.980,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.683,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.978,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.884,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.977,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
6.085,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.974,,,,,,,0.0000,,,,,-0.0010,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
6.287,TAKEOFF,pursuit,1,4.1321,-0.2788,6.5410,7.7419,0.56341,95.969,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
