t,phase,law,detected,meas_x,meas_y,meas_z,meas_range,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range
2.356,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.023,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
2.558,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.025,,,,,,,0.0000,,,,,-0.0040,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
2.759,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.032,,,,,,,0.0000,,,,,-0.0080,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
2.960,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.037,,,,,,,0.0000,,,,,-0.0120,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.161,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.035,,,,,,,0.0000,,,,,-0.0150,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.362,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.032,,,,,,,0.0000,,,,,-0.0180,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.563,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.035,,,,,,,0.0000,,,,,-0.0190,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.765,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.041,,,,,,,0.0000,,,,,-0.0200,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.967,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.042,,,,,,,0.0000,,,,,-0.0200,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.169,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.046,,,,,,,0.0000,,,,,-0.0200,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.370,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.045,,,,,,,0.0000,,,,,-0.0200,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.571,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.044,,,,,,,0.0000,,,,,-0.0200,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.771,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.042,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.973,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.036,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.174,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.034,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.375,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.029,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.575,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.027,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.776,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.027,,,,,,,0.0000,,,,,0.0030,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
5.977,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.028,,,,,,,0.0000,,,,,0.0060,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
6.178,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.028,,,,,,,0.0000,,,,,0.0100,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
6.379,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.023,,,,,,,0.0000,,,,,0.0140,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
6.581,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.019,,,,,,,0.0000,,,,,0.0170,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
6.782,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.014,,,,,,,0.0000,,,,,0.0190,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
6.983,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.010,,,,,,,0.0000,,,,,0.0190,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
