run_idx,law,target_vx,target_vy,target_start_y,cue_seed,miss_m,clean,handoff,handoff_range_m,handoff_t_s,first_det_range_m,coverage,breakoff_reason,flight_csv_path,config,direction,target_start_x,py_exit_code,sim_log_path,run_log_path,path,geometry,path_seed
0,pronav,0.000,12.000,-28.460,631840,2.0740,0,0,,,13.85,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T183731Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_0_20260710T183713Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_0_20260710T183713Z.log,weave,standard,843719
1,pronav,0.000,-12.000,30.356,530019,1.2020,1,1,7.318,25.593,24.70,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T183849Z.csv,pronav_12.000,r2l,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_1_20260710T183831Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_1_20260710T183831Z.log,weave,standard,552210
2,pronav,0.000,12.000,-30.348,106247,2.2290,1,1,2.539,25.623,14.55,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T184013Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_2_20260710T183955Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_2_20260710T183955Z.log,weave,standard,780840
3,pronav,0.000,-12.000,30.291,725782,0.9900,0,0,,,16.05,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T184121Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_3_20260710T184104Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_3_20260710T184104Z.log,weave,standard,83867
4,pronav,0.000,12.000,-29.536,945907,1.7940,0,1,5.351,24.223,12.91,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T184237Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_4_20260710T184220Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_4_20260710T184220Z.log,weave,standard,225422
5,pronav,0.000,-12.000,29.890,88016,1.2340,0,1,7.899,25.286,21.64,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T184340Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_5_20260710T184322Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_5_20260710T184322Z.log,weave,standard,599602
6,pronav,0.000,12.000,-30.058,514088,2.0530,1,1,8.158,24.728,13.22,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T184443Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_6_20260710T184425Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_6_20260710T184425Z.log,weave,standard,598955
7,pronav,0.000,-12.000,30.103,967014,0.8040,0,1,9.215,24.677,15.81,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T184548Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_7_20260710T184531Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_7_20260710T184531Z.log,weave,standard,921146
8,pronav,0.000,12.000,-29.211,697767,1.8010,0,0,,,13.82,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T184651Z.csv,pronav_12.000,l2r,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_8_20260710T184633Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_8_20260710T184633Z.log,weave,standard,307667
9,pronav,0.000,-12.000,29.881,887941,0.8700,0,1,7.656,23.503,22.62,,python_exit_1,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T184809Z.csv,pronav_12.000,r2l,6.500,1,/home/emerson/interceptor-sim/logs/mc_batch_sim_9_20260710T184751Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_9_20260710T184751Z.log,weave,standard,666906
10,pronav,0.000,12.000,-29.265,283651,2.2770,1,1,2.749,24.251,12.96,,no_coverage_line_in_run_log,/home/emerson/interceptor-sim/logs/m4_intercept_pronav_20260710T184912Z.csv,pronav_12.000,l2r,6.500,0,/home/emerson/interceptor-sim/logs/mc_batch_sim_10_20260710T184854Z.log,/home/emerson/interceptor-sim/logs/mc_batch_run_10_20260710T184854Z.log,weave,standard,39658
