t,t_sim,phase,law,detected,meas_x,meas_y,meas_z,meas_range,meas_conf,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range,ext_x,ext_y,ext_z,ext_fresh,tgt_n_hat,tgt_e_hat,tgt_vn_hat,tgt_ve_hat,ext_age_s,cue_stale,coast_phase,ekf_dn_hat,ekf_de_hat,ekf_dvn_hat,ekf_dve_hat,ekf_p_diag0,ekf_p_diag1,ekf_p_diag2,ekf_p_diag3,meas_source
3.727,10.928,TAKEOFF,pronav,0,,,,,,,96.486,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
3.928,11.056,TAKEOFF,pronav,0,,,,,,,96.481,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
4.129,11.184,TAKEOFF,pronav,0,,,,,,,96.478,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
4.331,11.288,TAKEOFF,pronav,0,,,,,,,96.477,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
4.531,11.404,TAKEOFF,pronav,0,,,,,,,96.475,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
4.733,11.520,TAKEOFF,pronav,0,,,,,,,96.474,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
4.935,11.652,TAKEOFF,pronav,0,,,,,,,96.479,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
5.136,11.752,TAKEOFF,pronav,0,,,,,,,96.482,,,,,,,0.0000,,,,,0.0040,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
5.336,11.856,TAKEOFF,pronav,0,,,,,,,96.488,,,,,,,0.0000,,,,,0.0080,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
5.538,11.980,TAKEOFF,pronav,0,,,,,,,96.495,,,,,,,0.0000,,,,,0.0140,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
5.738,12.112,TAKEOFF,pronav,0,,,,,,,96.500,,,,,,,0.0000,,,,,0.0200,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
5.939,12.236,TAKEOFF,pronav,0,,,,,,,96.506,,,,,,,0.0000,,,,,0.0230,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
6.140,12.332,TAKEOFF,pronav,0,,,,,,,96.508,,,,,,,0.0000,,,,,0.0250,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
6.342,12.444,TAKEOFF,pronav,0,,,,,,,96.504,,,,,,,0.0000,,,,,0.0260,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
6.545,12.576,TAKEOFF,pronav,0,,,,,,,96.497,,,,,,,0.0000,,,,,0.0260,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
6.746,12.704,TAKEOFF,pronav,0,,,,,,,96.487,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
6.955,12.808,TAKEOFF,pronav,0,,,,,,,96.479,,,,,,,0.0000,,,,,-0.0010,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
7.156,12.936,TAKEOFF,pronav,0,,,,,,,96.469,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
7.357,13.056,TAKEOFF,pronav,0,,,,,,,96.464,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
7.558,13.168,TAKEOFF,pronav,0,,,,,,,96.457,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
7.762,13.280,TAKEOFF,pronav,0,,,,,,,96.452,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
7.963,13.400,TAKEOFF,pronav,0,,,,,,,96.453,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
8.164,13.532,TAKEOFF,pronav,0,,,,,,,96.463,,,,,,,0.0000,,,,,0.0010,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
8.365,13.660,TAKEOFF,pronav,0,,,,,,,96.474,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
8.566,13.764,TAKEOFF,pronav,0,,,,,,,96.481,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
8.767,13.888,TAKEOFF,pronav,0,,,,,,,96.478,,,,,,,0.0000,,,,,0.0030,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
8.968,14.012,TAKEOFF,pronav,0,,,,,,,96.471,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
9.169,14.128,TAKEOFF,pronav,0,,,,,,,96.468,,,,,,,0.0000,,,,,0.0020,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
9.370,14.248,TAKEOFF,pronav,0,,,,,,,96.470,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
9.571,14.364,TAKEOFF,pronav,0,,,,,,,96.475,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
9.772,14.488,TAKEOFF,pronav,0,,,,,,,96.482,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
9.973,14.584,TAKEOFF,pronav,0,,,,,,,96.489,,,,,,,0.0000,,,,,-0.0010,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
10.174,14.704,TAKEOFF,pronav,0,,,,,,,96.498,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
10.375,14.828,TAKEOFF,pronav,0,,,,,,,96.505,,,,,,,0.0000,,,,,-0.0020,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
10.575,14.952,TAKEOFF,pronav,0,,,,,,,96.514,,,,,,,0.0000,,,,,-0.0030,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
10.776,15.084,TAKEOFF,pronav,0,,,,,,,96.521,,,,,,,0.0000,,,,,-0.0050,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
10.977,15.176,TAKEOFF,pronav,0,,,,,,,96.521,,,,,,,0.0000,,,,,-0.0070,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
11.178,15.288,TAKEOFF,pronav,0,,,,,,,96.517,,,,,,,0.0000,,,,,-0.0090,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
11.380,15.412,TAKEOFF,pronav,0,,,,,,,96.513,,,,,,,0.0000,,,,,-0.0120,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
11.581,15.544,TAKEOFF,pronav,0,,,,,,,96.507,,,,,,,0.0000,,,,,-0.0140,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
11.783,15.644,TAKEOFF,pronav,0,,,,,,,96.507,,,,,,,0.0000,,,,,-0.0150,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
11.985,15.756,TAKEOFF,pronav,0,,,,,,,96.508,,,,,,,0.0000,,,,,-0.0170,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
12.186,15.876,TAKEOFF,pronav,0,,,,,,,96.511,,,,,,,0.0000,,,,,-0.0180,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
12.389,16.008,TAKEOFF,pronav,0,,,,,,,96.515,,,,,,,0.0000,,,,,-0.0180,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
12.591,16.132,TAKEOFF,pronav,0,,,,,,,96.518,,,,,,,0.0000,,,,,-0.0180,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
12.792,16.216,TAKEOFF,pronav,0,,,,,,,96.520,,,,,,,0.0000,,,,,-0.0180,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
12.993,16.336,TAKEOFF,pronav,0,,,,,,,96.522,,,,,,,0.0000,,,,,-0.0170,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
13.194,16.468,TAKEOFF,pronav,0,,,,,,,96.522,,,,,,,0.0000,,,,,-0.0170,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
13.396,16.596,TAKEOFF,pronav,0,,,,,,,96.524,,,,,,,0.0000,,,,,-0.0170,0.1200,0.0300,0.2290,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
13.597,16.700,TAKEOFF,pronav,0,,,,,,,96.525,,,,,,,0.0000,,,,,-0.0170,0.1198,0.0300,0.2292,6.5000,-30.7110,0.5000,31.3973,,,,,,,,,,,,,,,,,,,,
13.799,16.800,TAKEOFF,pronav,0,,,,,,,96.546,,,,,,,0.0000,,,,,-0.0170,0.1191,0.0299,0.2300,6.5000,-30.7110,0.5000,31.3973,,,,,,,,,,,,,,,,,,,,
14.002,16.932,TAKEOFF,pronav,0,,,,,,,96.580,,,,,,,0.0000,,,,,-0.0160,0.1172,0.0294,0.2327,6.5000,-30.7110,0.5000,31.3972,,,,,,,,,,,,,,,,,,,,
14.203,17.056,TAKEOFF,pronav,0,,,,,,,96.593,,,,,,,0.0000,,,,,-0.0120,0.1142,0.0286,0.2368,6.5000,-30.7110,0.5000,31.3970,,,,,,,,,,,,,,,,,,,,
14.404,17.172,TAKEOFF,pronav,0,,,,,,,96.592,,,,,,,0.0000,,,,,-0.0040,0.1086,0.0268,0.2442,6.5000,-30.7110,0.5000,31.3963,,,,,,,,,,,,,,,,,,,,
14.620,17.260,TAKEOFF,pronav,0,,,,,,,96.596,,,,,,,0.0000,,,,,0.0040,0.1040,0.0253,0.2506,6.5000,-30.7110,0.5000,31.3957,,,,,,,,,,,,,,,,,,,,
14.823,17.392,TAKEOFF,pronav,0,,,,,,,96.615,,,,,,,0.0000,,,,,0.0170,0.0957,0.0226,0.2631,6.5000,-30.7110,0.5000,31.3946,,,,,,,,,,,,,,,,,,,,
15.026,17.524,TAKEOFF,pronav,0,,,,,,,96.632,,,,,,,0.0000,,,,,0.0360,0.0866,0.0200,0.2781,6.5000,-30.7110,0.5000,31.3939,,,,,,,,,,,,,,,,,,,,
15.228,17.652,TAKEOFF,pronav,0,,,,,,,96.626,,,,,,,0.0000,,,,,0.0540,0.0775,0.0181,0.2954,6.5000,-30.7110,0.5000,31.3937,,,,,,,,,,,,,,,,,,,,
15.429,17.772,TAKEOFF,pronav,0,,,,,,,96.603,,,,,,,0.0000,,,,,0.0730,0.0702,0.0171,0.3115,6.5000,-30.7110,0.5000,31.3942,,,,,,,,,,,,,,,,,,,,
15.630,17.856,TAKEOFF,pronav,0,,,,,,,96.582,,,,,,,0.0000,,,,,0.0880,0.0649,0.0168,0.3247,6.5000,-30.7110,0.5000,31.3949,,,,,,,,,,,,,,,,,,,,
15.831,17.976,TAKEOFF,pronav,0,,,,,,,96.550,,,,,,,0.0000,,,,,0.1100,0.0590,0.0172,0.3421,6.5000,-30.7110,0.5000,31.3964,,,,,,,,,,,,,,,,,,,,
16.032,18.100,TAKEOFF,pronav,0,,,,,,,96.520,,,,,,,0.0000,,,,,0.1330,0.0533,0.0186,0.3629,6.5000,-30.7110,0.5000,31.3988,,,,,,,,,,,,,,,,,,,,
16.233,18.220,TAKEOFF,pronav,0,,,,,,,96.509,,,,,,,0.0000,,,,,0.1560,0.0497,0.0208,0.3811,6.5000,-30.7110,0.5000,31.4017,,,,,,,,,,,,,,,,,,,,
16.435,18.348,TAKEOFF,pronav,0,,,,,,,96.521,,,,,,,0.0000,,,,,0.1810,0.0471,0.0245,0.4016,6.5000,-30.7110,0.5000,31.4057,,,,,,,,,,,,,,,,,,,,
16.636,18.440,TAKEOFF,pronav,0,,,,,,,96.532,,,,,,,0.0000,,,,,0.1950,0.0464,0.0273,0.4138,6.5000,-30.7110,0.5000,31.4086,,,,,,,,,,,,,,,,,,,,
16.837,18.556,TAKEOFF,pronav,0,,,,,,,96.537,,,,,,,0.0000,,,,,0.2160,0.0465,0.0327,0.4338,6.5000,-30.7110,0.5000,31.4138,,,,,,,,,,,,,,,,,,,,
17.038,18.680,TAKEOFF,pronav,0,,,,,,,96.526,,,,,,,0.0000,,,,,0.2350,0.0479,0.0384,0.4517,6.5000,-30.7110,0.5000,31.4191,,,,,,,,,,,,,,,,,,,,
17.239,18.804,TAKEOFF,pronav,0,,,,,,,96.510,,,,,,,0.0000,,,,,0.2580,0.0506,0.0453,0.4705,6.5000,-30.7110,0.5000,31.4252,,,,,,,,,,,,,,,,,,,,
17.439,18.904,TAKEOFF,pronav,0,,,,,,,96.497,,,,,,,0.0000,,,,,0.2700,0.0534,0.0507,0.4815,6.5000,-30.7110,0.5000,31.4300,,,,,,,,,,,,,,,,,,,,
17.640,19.016,TAKEOFF,pronav,0,,,,,,,96.479,,,,,,,0.0000,,,,,0.2740,0.0569,0.0568,0.4850,6.5000,-30.7110,0.5000,31.4351,,,,,,,,,,,,,,,,,,,,
17.841,19.144,TAKEOFF,pronav,0,,,,,,,96.439,,,,,,,0.0000,,,,,0.2640,0.0610,0.0628,0.4780,6.5000,-30.7110,0.5000,31.4402,,,,,,,,,,,,,,,,,,,,
18.044,19.264,TAKEOFF,pronav,0,,,,,,,96.397,,,,,,,0.0000,,,,,0.2520,0.0655,0.0687,0.4675,6.5000,-30.7110,0.5000,31.4451,,,,,,,,,,,,,,,,,,,,
18.245,19.356,TAKEOFF,pronav,0,,,,,,,96.360,,,,,,,0.0000,,,,,0.2430,0.0688,0.0724,0.4629,6.5000,-30.7110,0.5000,31.4481,,,,,,,,,,,,,,,,,,,,
18.446,19.472,TAKEOFF,pronav,0,,,,,,,96.341,,,,,,,0.0000,,,,,0.2390,0.0733,0.0767,0.4622,6.5000,-30.7110,0.5000,31.4513,,,,,,,,,,,,,,,,,,,,
18.647,19.604,TAKEOFF,pronav,0,,,,,,,96.359,,,,,,,0.0000,,,,,0.2430,0.0781,0.0801,0.4666,6.5000,-30.7110,0.5000,31.4536,,,,,,,,,,,,,,,,,,,,
