dataset,frame,gt_range,gbearing_deg,n_boxes,n_target_boxes,n_phantom_boxes,any_hit,top1_raw_hit,deployed_hit,target_hit_rank,loss_reason,score_margin_phantom_minus_target
v3_flight_eval,evalv3_03_000161_r009.1_pos,9.1,-3.1,7,0,7,0,0,0,,,
v3_flight_eval,evalv3_03_000162_r007.0_pos,7.0,-5.1,12,0,12,0,0,0,,,
v3_flight_eval,evalv3_04_000157_r015.8_pos,15.8,+6.5,25,0,25,0,0,0,,,
v3_flight_eval,evalv3_04_000158_r013.8_pos,13.8,+14.1,28,10,18,1,1,1,1,,
v3_flight_eval,evalv3_04_000159_r012.3_pos,12.3,+17.7,22,10,12,1,1,1,1,,
v3_flight_eval,evalv3_04_000160_r010.5_pos,10.5,+18.0,15,10,5,1,1,1,1,,
v3_flight_eval,evalv3_04_000161_r008.4_pos,8.4,+16.6,22,10,12,1,1,1,1,,
v3_flight_eval,evalv3_04_000162_r006.6_pos,6.6,+17.3,18,0,18,0,0,0,,,
v3_flight_eval,evalv3_05_000166_r014.4_pos,14.4,-6.7,7,0,7,0,0,0,,,
v3_flight_eval,evalv3_05_000167_r012.5_pos,12.5,-4.7,4,0,4,0,0,0,,,
v3_flight_eval,evalv3_05_000168_r010.6_pos,10.6,-8.4,7,3,4,1,0,0,2,phantom_outscores,0.179
v3_flight_eval,evalv3_05_000169_r008.6_pos,8.6,-14.0,7,0,7,0,0,0,,,
v3_flight_eval,evalv3_05_000170_r006.3_pos,6.3,-15.2,3,0,3,0,0,0,,,
v3_flight_eval,evalv3_06_000156_r015.8_pos,15.8,+10.3,14,5,9,1,1,1,1,,
v3_flight_eval,evalv3_06_000157_r014.2_pos,14.2,+8.9,20,10,10,1,1,1,1,,
v3_flight_eval,evalv3_06_000158_r012.1_pos,12.1,+12.1,16,11,5,1,1,1,1,,
v3_flight_eval,evalv3_06_000159_r010.3_pos,10.3,+12.3,14,10,4,1,1,1,1,,
v3_flight_eval,evalv3_06_000160_r008.5_pos,8.5,+12.5,12,11,1,1,1,1,1,,
v3_flight_eval,evalv3_06_000161_r006.7_pos,6.7,+13.3,15,10,5,1,1,1,1,,
v3_flight_eval,evalv3_07_000155_r015.8_pos,15.8,-8.3,7,0,7,0,0,0,,,
v3_flight_eval,evalv3_07_000156_r014.1_pos,14.1,-4.2,5,0,5,0,0,0,,,
v3_flight_eval,evalv3_07_000157_r012.4_pos,12.4,-4.5,8,2,6,1,0,1,6,,
v3_flight_eval,evalv3_07_000158_r010.4_pos,10.4,-6.7,10,2,8,1,0,1,9,,
v3_flight_eval,evalv3_07_000159_r008.6_pos,8.6,-5.2,17,6,11,1,0,0,10,phantom_outscores,0.091
v3_flight_eval,evalv3_07_000160_r006.8_pos,6.8,-5.2,12,2,10,1,0,1,4,,
v3_flight_eval,evalv3_08_000168_r016.0_pos,16.0,+10.7,16,9,7,1,1,1,1,,
v3_flight_eval,evalv3_08_000169_r014.4_pos,14.4,+10.1,35,10,25,1,1,1,1,,
v3_flight_eval,evalv3_08_000170_r012.6_pos,12.6,+6.1,22,10,12,1,1,1,1,,
v3_flight_eval,evalv3_08_000171_r010.6_pos,10.6,+3.0,18,10,8,1,1,1,1,,
v3_flight_eval,evalv3_08_000172_r008.9_pos,8.9,+2.8,29,2,27,1,0,0,5,phantom_outscores,0.068
v3_flight_eval,evalv3_08_000173_r006.8_pos,6.8,+9.0,14,0,14,0,0,0,,,
v3_flight_eval,evalv3_09_000158_r015.1_pos,15.1,-6.5,16,8,8,1,0,1,8,,
v3_flight_eval,evalv3_09_000159_r013.4_pos,13.4,-8.5,18,10,8,1,1,1,1,,
v3_flight_eval,evalv3_09_000160_r011.5_pos,11.5,-5.8,11,10,1,1,1,1,1,,
v3_flight_eval,evalv3_09_000161_r009.7_pos,9.7,+0.7,10,8,2,1,1,1,1,,
v3_flight_eval,evalv3_09_000162_r007.8_pos,7.8,+4.5,5,0,5,0,0,0,,,
v3_flight_eval,evalv3_10_000156_r015.1_pos,15.1,+2.1,22,10,12,1,1,1,1,,
v3_flight_eval,evalv3_10_000157_r013.8_pos,13.8,-0.7,23,10,13,1,1,1,1,,
v3_flight_eval,evalv3_10_000158_r012.2_pos,12.2,+0.1,13,7,6,1,1,1,1,,
v3_flight_eval,evalv3_10_000159_r010.7_pos,10.7,+7.0,10,7,3,1,1,1,1,,
v3_flight_eval,evalv3_10_000160_r009.1_pos,9.1,+13.9,17,7,10,1,1,1,1,,
v3_flight_eval,evalv3_10_000161_r007.5_pos,7.5,+13.5,21,0,21,0,0,0,,,
quad_canonical_r2l_capture,c1_000234_r016.0_pos,16.0,-44.6,26,0,26,0,0,0,,,
quad_canonical_r2l_capture,c1_000235_r016.0_pos,16.0,-37.1,18,0,18,0,0,0,,,
quad_canonical_r2l_capture,c1_000236_r016.0_pos,16.0,-29.9,15,0,15,0,0,0,,,
quad_canonical_r2l_capture,c1_000237_r016.0_pos,16.0,-21.1,11,0,11,0,0,0,,,
quad_canonical_r2l_capture,c1_000238_r015.7_pos,15.7,-12.9,24,0,24,0,0,0,,,
