t,phase,law,detected,meas_x,meas_y,meas_z,meas_range,bearing_rad,psi_deg,lambda_deg,lambda_dot_deg_s,r_hat_m,rdot_hat_m_s,vc_m_s,a_cmd_m_s2,v_perp_m_s,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_deg,alt_m,gt_cam_x,gt_cam_y,gt_cam_z,gt_tag_x,gt_tag_y,gt_tag_z,gt_range
2.531,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.035,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
2.732,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.035,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
2.933,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.044,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.133,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.057,,,,,,,0.0000,,,,,0.0000,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.334,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.068,,,,,,,0.0000,,,,,-0.0030,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.537,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.073,,,,,,,0.0000,,,,,-0.0050,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.739,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.076,,,,,,,0.0000,,,,,-0.0060,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
3.940,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.077,,,,,,,0.0000,,,,,-0.0080,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.142,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.079,,,,,,,0.0000,,,,,-0.0090,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
4.342,TAKEOFF,pronav,1,4.1321,-0.2788,6.5410,7.7419,0.56341,96.087,,,,,,,0.0000,,,,,-0.0100,0.1200,0.0300,0.2290,6.5000,-4.0000,0.5000,7.5511
