t_s,temp_c,throttled_hex,arm_hz
1.99,47.4,0x0,2400030464
4.0,50.15,0x0,2400037120
6.0,52.35,0x0,2400033792
8.01,51.25,0x0,2400030464
10.01,52.35,0x0,2400020480
12.01,53.45,0x0,2400030464
14.02,53.45,0x0,2400027136
16.03,51.8,0x0,2400033792
18.03,52.35,0x0,2400037120
20.04,52.9,0x0,2400030464
22.04,52.9,0x0,2400017408
24.05,52.9,0x0,2400027136
26.06,53.45,0x0,2400027136
28.06,54.0,0x0,2400020480
30.07,54.0,0x0,2400020480
32.08,53.45,0x0,2400033792
34.09,52.35,0x0,2400033792
36.09,54.55,0x0,2400027136
38.1,54.55,0x0,2400020480
40.1,55.1,0x0,2400030464
42.11,53.45,0x0,2400020480
44.11,55.1,0x0,2400030464
46.11,53.45,0x0,2400030464
48.12,55.1,0x0,2400030464
50.12,54.0,0x0,2400020480
52.12,54.0,0x0,2400033792
54.14,55.1,0x0,2400020480
56.14,54.55,0x0,2400027136
58.15,54.0,0x0,2400030464
60.16,54.55,0x0,2400033792
62.16,53.45,0x0,2400033792
64.16,55.1,0x0,2400027136
66.17,55.1,0x0,2400020480
68.17,54.55,0x0,2400027136
70.18,55.1,0x0,2400027136
72.19,55.1,0x0,2400020480
74.19,53.45,0x0,2400033792
76.19,54.0,0x0,2400033792
78.19,55.1,0x0,2400020480
80.19,55.1,0x0,2400037120
82.2,55.1,0x0,2400037120
84.2,54.55,0x0,2400027136
86.21,55.1,0x0,2400030464
88.21,55.1,0x0,2400033792
90.22,54.55,0x0,2400033792
92.22,55.1,0x0,2400030464
94.23,55.1,0x0,2400027136
96.24,54.55,0x0,2400023808
98.25,54.55,0x0,2400037120
100.25,55.1,0x0,2400020480
102.26,54.0,0x0,2400020480
104.26,54.0,0x0,2400030464
106.26,54.0,0x0,2400033792
108.27,54.55,0x0,2400033792
110.28,55.1,0x0,2400030464
112.28,55.1,0x0,2400030464
114.29,54.0,0x0,2400037120
116.29,56.2,0x0,2400017408
118.29,56.2,0x0,2400030464
120.3,54.0,0x0,2400030464
122.3,55.1,0x0,2400017408
124.3,54.0,0x0,2400027136
126.31,55.1,0x0,2400030464
128.32,55.65,0x0,2400027136
130.32,55.65,0x0,2400020480
132.33,55.65,0x0,2400027136
134.33,54.55,0x0,2400037120
136.34,55.65,0x0,2400030464
138.34,55.1,0x0,2400020480
140.34,55.1,0x0,2400017408
142.35,56.2,0x0,2400033792
144.35,54.55,0x0,2400030464
146.36,55.65,0x0,2400027136
148.37,56.2,0x0,2400020480
150.37,56.2,0x0,2400030464
152.38,55.1,0x0,2400030464
154.38,55.65,0x0,2400023808
156.38,55.65,0x0,2400020480
158.39,56.2,0x0,2400017408
160.39,54.55,0x0,2400030464
162.39,56.2,0x0,2400033792
164.4,54.55,0x0,2400020480
166.41,55.65,0x0,2400020480
168.41,55.1,0x0,2400030464
170.42,55.1,0x0,2400027136
172.42,55.65,0x0,2400033792
174.43,55.65,0x0,2400033792
176.43,54.0,0x0,2400033792
178.44,56.2,0x0,2400033792
180.44,55.1,0x0,2400033792
182.45,55.1,0x0,2400030464
184.46,55.1,0x0,2400030464
186.46,55.65,0x0,2400033792
188.47,55.1,0x0,2400030464
190.48,56.2,0x0,2400020480
192.49,56.75,0x0,2400020480
194.5,56.2,0x0,2400027136
196.5,55.65,0x0,2400027136
198.51,55.65,0x0,2400020480
200.52,55.1,0x0,2400030464
202.52,56.2,0x0,2400027136
204.53,55.65,0x0,2400033792
206.54,55.65,0x0,2400033792
208.54,55.1,0x0,2400033792
210.55,55.65,0x0,2400033792
212.56,55.65,0x0,2400027136
214.56,56.75,0x0,2400037120
216.56,55.1,0x0,2400027136
218.57,56.2,0x0,2400027136
220.57,55.65,0x0,2400030464
222.58,55.1,0x0,2400020480
224.58,55.1,0x0,2400023808
226.59,56.2,0x0,2400017408
228.59,56.75,0x0,2400027136
230.6,55.65,0x0,2400030464
232.61,56.2,0x0,2400033792
234.61,56.2,0x0,2400037120
236.62,56.2,0x0,2400033792
238.63,55.1,0x0,2400023808
240.64,55.65,0x0,2400033792
242.65,56.75,0x0,2400030464
244.65,56.75,0x0,2400020480
246.66,56.2,0x0,2400033792
248.67,56.75,0x0,2400030464
250.68,55.65,0x0,2400020480
252.68,56.2,0x0,2400027136
