# scripts/wind_driver.py -- APPLIED wind wrench log (world-side disturbance; gt side of the honesty boundary, scoring/audit only)
# world=apriltag entity=x500_mono_cam_0::base_link topic=/world/apriltag/wrench/persistent
# label=gate0 mean_mps=5.0 dir_from_deg=270.0 height_m=6.0 sigma_mps=0.0 tau_s=8.629200809773325 seed=7 rate_hz=20.0
# conditions_provenance=Gate-0 physics probe: synthetic steady wind, NOT a field reading (docs/wind_gate0_prereg.md)
# drag: mass_kg=2.114307692307692 mcoef_per_s=0.15 bcoef=100.0 rho=1.225
# drag_provenance=PX4 defaults + SDF mass, SITL ONLY: EKF2_MCOEF=0.15 1/s and EKF2_BCOEF_X/Y=100 kg/m^2 from src/modules/ekf2/params_drag.yaml; mass 2.114308 kg = x500_base/model.sdf (2.0 + 4*0.016076923) + mono_cam/model.sdf (0.050); rho 1.225 ISA. NOT measured on the real airframe -- do not quote a field number off these.
# columns applied_f_* are what was PUT ON THE WIRE; `published` is whether gz-transport accepted it (ADR-0090 pattern: log what was applied, not what was intended)
t_sim,grid_index,wind_n,wind_e,wind_d,steady_n,steady_e,gust_u,gust_v,v_veh_n,v_veh_e,v_rel_n,v_rel_e,v_rel_mps,a_drag_m_s2,applied_f_n,applied_f_e,applied_f_d,applied_f_world_x,applied_f_world_y,applied_f_world_z,published,publish_error
41.8440,836,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00664,0.02701,0.00664,4.97299,4.97300,0.89742,0.00253,1.89743,0.00000,1.89743,0.00253,-0.00000,1,
41.8920,837,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00720,0.02767,0.00720,4.97233,4.97234,0.89729,0.00275,1.89714,0.00000,1.89714,0.00275,-0.00000,1,
41.9440,838,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00768,0.02805,0.00768,4.97195,4.97195,0.89721,0.00293,1.89697,0.00000,1.89697,0.00293,-0.00000,1,
41.9920,839,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00853,0.02822,0.00853,4.97178,4.97179,0.89717,0.00325,1.89689,0.00000,1.89689,0.00325,-0.00000,1,
42.0440,840,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.00906,0.02833,0.00906,4.97167,4.97168,0.89715,0.00346,1.89684,0.00000,1.89684,0.00346,-0.00000,1,
42.0920,841,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01025,0.02817,0.01025,4.97183,4.97184,0.89718,0.00391,1.89691,0.00000,1.89691,0.00391,-0.00000,1,
42.1440,842,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01116,0.02829,0.01116,4.97171,4.97172,0.89716,0.00426,1.89686,0.00000,1.89686,0.00426,-0.00000,1,
42.1920,843,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01238,0.02841,0.01238,4.97159,4.97160,0.89713,0.00472,1.89681,0.00000,1.89681,0.00472,-0.00000,1,
42.2440,844,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01314,0.02803,0.01314,4.97197,4.97199,0.89721,0.00501,1.89698,0.00000,1.89698,0.00501,-0.00000,1,
42.2920,845,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01385,0.02778,0.01385,4.97222,4.97224,0.89727,0.00529,1.89709,0.00000,1.89709,0.00529,-0.00000,1,
