stem,range_m,gt_bearing_deg,blur_px,angle_deg,nn_fired,nn_matched,nn_center_err_px,nn_dbearing_deg,nn_conf,csrt_ok,csrt_held,csrt_center_err_px
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,0,0.0,0,0,,,,1,1,1.58
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,2,0.0,0,0,,,,1,1,1.71
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,3,0.0,0,0,,,,1,1,2.2
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,4,0.0,0,0,,,,1,1,2.2
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,6,0.0,0,0,,,,1,1,3.15
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,8,0.0,0,0,,,,1,1,3.54
00051_grid_r001.5_b+25.0_h0.25_yaw+135.0,1.5,-25.88,12,0.0,0,0,,,,1,1,2.86
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,0,0.0,1,0,112.41,0.004,0.313,1,1,0.22
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,2,0.0,0,0,,,,1,1,0.53
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,3,0.0,1,0,112.08,0.069,0.253,1,1,0.97
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,4,0.0,0,0,,,,1,1,0.79
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,6,0.0,0,0,,,,1,1,0.22
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,8,0.0,0,0,,,,1,1,0.22
00054_grid_r001.5_b+25.0_h0.25_yaw-090.0,1.5,-25.88,12,0.0,0,0,,,,1,1,1.54
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,0,0.0,1,1,18.87,1.144,0.972,1,1,0.95
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,2,0.0,1,1,18.48,1.13,0.972,1,1,0.95
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,3,0.0,1,1,18.99,1.162,0.972,1,1,1.95
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,4,0.0,1,1,18.43,1.127,0.97,1,1,1.54
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,6,0.0,1,1,18.44,1.133,0.967,1,1,1.95
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,8,0.0,1,1,18.57,1.142,0.963,1,1,1.95
00061_grid_r001.5_b+25.0_h0.50_yaw-135.0,1.5,-25.88,12,0.0,1,1,18.82,1.207,0.957,1,1,1.52
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,0,0.0,0,0,,,,1,1,1.46
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,2,0.0,0,0,,,,1,1,0.76
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,3,0.0,0,0,,,,1,1,2.11
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,4,0.0,0,0,,,,1,1,1.11
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,6,0.0,0,0,,,,1,1,2.67
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,8,0.0,0,0,,,,1,1,2.36
00064_grid_r001.5_b+25.0_h1.50_yaw+000.0,1.5,-25.88,12,0.0,0,0,,,,1,1,3.29
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,0,0.0,1,0,123.57,9.805,0.285,1,1,0.68
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,2,0.0,1,0,123.25,9.767,0.27,1,1,1.6
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,3,0.0,0,0,,,,1,1,0.12
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,4,0.0,0,0,,,,1,1,2.06
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,6,0.0,0,0,,,,1,1,1.06
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,8,0.0,0,0,,,,1,1,1.38
00065_grid_r001.5_b+25.0_h1.50_yaw+045.0,1.5,-25.88,12,0.0,0,0,,,,1,1,0.89
00070_grid_r001.5_b+25.0_h1.50_yaw-090.0,1.5,-25.88,0,0.0,0,0,,,,1,1,0.12
00070_grid_r001.5_b+25.0_h1.50_yaw-090.0,1.5,-25.88,2,0.0,0,0,,,,1,1,1.06
00070_grid_r001.5_b+25.0_h1.50_yaw-090.0,1.5,-25.88,3,0.0,0,0,,,,1,1,1.11
00070_grid_r001.5_b+25.0_h1.50_yaw-090.0,1.5,-25.88,4,0.0,0,0,,,,1,1,0.82
00070_grid_r001.5_b+25.0_h1.50_yaw-090.0,1.5,-25.88,6,0.0,0,0,,,,1,1,0.12
00070_grid_r001.5_b+25.0_h1.50_yaw-090.0,1.5,-25.88,8,0.0,0,0,,,,1,1,1.38
00070_grid_r001.5_b+25.0_h1.50_yaw-090.0,1.5,-25.88,12,0.0,0,0,,,,1,1,2.08
00096_grid_r002.0_b+00.0_h0.25_yaw+000.0,2.0,0.91,0,0.0,1,1,2.12,0.178,0.968,1,1,0.39
00096_grid_r002.0_b+00.0_h0.25_yaw+000.0,2.0,0.91,2,0.0,1,1,1.75,0.104,0.968,1,1,0.62
00096_grid_r002.0_b+00.0_h0.25_yaw+000.0,2.0,0.91,3,0.0,1,1,2.26,0.21,0.967,1,1,0.39
00096_grid_r002.0_b+00.0_h0.25_yaw+000.0,2.0,0.91,4,0.0,1,1,1.84,0.153,0.967,1,1,0.39
00096_grid_r002.0_b+00.0_h0.25_yaw+000.0,2.0,0.91,6,0.0,1,1,1.95,0.184,0.965,1,1,0.39
00096_grid_r002.0_b+00.0_h0.25_yaw+000.0,2.0,0.91,8,0.0,1,1,1.85,0.185,0.964,1,1,0.39
00096_grid_r002.0_b+00.0_h0.25_yaw+000.0,2.0,0.91,12,0.0,1,1,1.98,0.21,0.956,1,1,0.39
00102_grid_r002.0_b+00.0_h0.25_yaw-090.0,2.0,0.91,0,0.0,0,0,,,,1,1,1.21
00102_grid_r002.0_b+00.0_h0.25_yaw-090.0,2.0,0.91,2,0.0,0,0,,,,1,1,1.21
00102_grid_r002.0_b+00.0_h0.25_yaw-090.0,2.0,0.91,3,0.0,0,0,,,,1,1,1.15
00102_grid_r002.0_b+00.0_h0.25_yaw-090.0,2.0,0.91,4,0.0,0,0,,,,1,1,0.48
00102_grid_r002.0_b+00.0_h0.25_yaw-090.0,2.0,0.91,6,0.0,0,0,,,,1,1,0.48
00102_grid_r002.0_b+00.0_h0.25_yaw-090.0,2.0,0.91,8,0.0,0,0,,,,1,1,1.88
00102_grid_r002.0_b+00.0_h0.25_yaw-090.0,2.0,0.91,12,0.0,0,0,,,,1,1,2.06
00118_grid_r002.0_b+00.0_h1.50_yaw-090.0,2.0,0.91,0,0.0,0,0,,,,1,1,0.62
00118_grid_r002.0_b+00.0_h1.50_yaw-090.0,2.0,0.91,2,0.0,0,0,,,,1,1,1.27
00118_grid_r002.0_b+00.0_h1.50_yaw-090.0,2.0,0.91,3,0.0,0,0,,,,1,1,1.18
00118_grid_r002.0_b+00.0_h1.50_yaw-090.0,2.0,0.91,4,0.0,0,0,,,,1,1,1.27
00118_grid_r002.0_b+00.0_h1.50_yaw-090.0,2.0,0.91,6,0.0,0,0,,,,1,1,0.62
00118_grid_r002.0_b+00.0_h1.50_yaw-090.0,2.0,0.91,8,0.0,0,0,,,,1,1,0.62
00118_grid_r002.0_b+00.0_h1.50_yaw-090.0,2.0,0.91,12,0.0,0,0,,,,1,1,1.27
00133_grid_r002.0_b+25.0_h0.50_yaw-135.0,2.0,-25.65,0,0.0,1,1,9.28,0.678,0.958,1,1,1.24
00133_grid_r002.0_b+25.0_h0.50_yaw-135.0,2.0,-25.65,2,0.0,1,1,8.67,0.628,0.958,1,1,0.8
00133_grid_r002.0_b+25.0_h0.50_yaw-135.0,2.0,-25.65,3,0.0,1,1,9.26,0.676,0.957,1,1,0.8
00133_grid_r002.0_b+25.0_h0.50_yaw-135.0,2.0,-25.65,4,0.0,1,1,8.78,0.637,0.957,1,1,0.28
00133_grid_r002.0_b+25.0_h0.50_yaw-135.0,2.0,-25.65,6,0.0,1,1,8.9,0.644,0.955,1,1,0.28
00133_grid_r002.0_b+25.0_h0.50_yaw-135.0,2.0,-25.65,8,0.0,1,1,9.05,0.656,0.953,1,1,0.28
00133_grid_r002.0_b+25.0_h0.50_yaw-135.0,2.0,-25.65,12,0.0,1,1,9.34,0.691,0.946,1,1,0.99
00134_grid_r002.0_b+25.0_h0.50_yaw-090.0,2.0,-25.65,0,0.0,0,0,,,,1,1,0.28
00134_grid_r002.0_b+25.0_h0.50_yaw-090.0,2.0,-25.65,2,0.0,0,0,,,,1,1,0.86
00134_grid_r002.0_b+25.0_h0.50_yaw-090.0,2.0,-25.65,3,0.0,0,0,,,,1,1,0.28
00134_grid_r002.0_b+25.0_h0.50_yaw-090.0,2.0,-25.65,4,0.0,0,0,,,,1,1,0.28
00134_grid_r002.0_b+25.0_h0.50_yaw-090.0,2.0,-25.65,6,0.0,0,0,,,,1,1,0.86
00134_grid_r002.0_b+25.0_h0.50_yaw-090.0,2.0,-25.65,8,0.0,0,0,,,,1,1,0.43
00134_grid_r002.0_b+25.0_h0.50_yaw-090.0,2.0,-25.65,12,0.0,0,0,,,,1,1,0.8
00136_grid_r002.0_b+25.0_h1.50_yaw+000.0,2.0,-25.65,0,0.0,1,1,6.97,0.163,0.961,1,1,0.95
00136_grid_r002.0_b+25.0_h1.50_yaw+000.0,2.0,-25.65,2,0.0,1,1,6.86,0.135,0.961,1,1,0.48
00136_grid_r002.0_b+25.0_h1.50_yaw+000.0,2.0,-25.65,3,0.0,1,1,7.12,0.163,0.96,1,1,0.95
00136_grid_r002.0_b+25.0_h1.50_yaw+000.0,2.0,-25.65,4,0.0,1,1,7.19,0.137,0.959,1,1,0.66
00136_grid_r002.0_b+25.0_h1.50_yaw+000.0,2.0,-25.65,6,0.0,1,1,7.65,0.141,0.956,1,1,0.66
