t_s,temp_c,throttled_hex,arm_hz
390.04,65.0,0x0,2400033792
392.19,64.45,0x0,2400020480
394.21,65.55,0x0,2400023808
396.35,64.45,0x0,2400020480
398.48,65.55,0x0,2400033792
400.6,66.1,0x0,2400020480
402.71,65.55,0x0,2400020480
404.82,65.55,0x0,2400033792
406.96,66.1,0x0,2400030464
409.06,66.1,0x0,2400020480
411.22,64.45,0x0,2400027136
413.39,65.0,0x0,2400027136
415.55,64.45,0x0,2400030464
417.55,64.45,0x0,2400033792
419.58,64.45,0x0,2400033792
421.72,64.45,0x0,2400033792
423.85,64.45,0x0,2400037120
425.97,66.1,0x0,2400017408
428.1,65.55,0x0,2400027136
430.2,65.55,0x0,2400020480
432.22,63.9,0x0,2400020480
434.24,64.45,0x0,2400020480
436.37,65.55,0x0,2400020480
438.5,65.0,0x0,2400020480
440.64,65.55,0x0,2400020480
442.7,65.55,0x0,2400033792
444.72,65.55,0x0,2400020480
446.75,65.55,0x0,2400033792
448.76,65.55,0x0,2400030464
450.92,65.55,0x0,2400020480
453.03,65.55,0x0,2400030464
455.16,64.45,0x0,2400027136
457.19,65.55,0x0,2400030464
459.34,65.0,0x0,2400030464
461.36,66.1,0x0,2400020480
463.37,66.1,0x0,2400030464
465.47,66.1,0x0,2400030464
467.48,65.0,0x0,2400030464
469.62,66.1,0x0,2400017408
471.72,66.1,0x0,2400033792
473.86,66.1,0x0,2400033792
475.94,65.55,0x0,2400027136
478.08,66.1,0x0,2400020480
480.1,66.1,0x0,2400030464
482.21,65.0,0x0,2400027136
484.28,66.1,0x0,2400027136
486.41,65.0,0x0,2400027136
488.57,66.1,0x0,2400027136
490.59,66.1,0x0,2400030464
492.62,65.0,0x0,2400020480
494.64,65.55,0x0,2400037120
496.66,65.55,0x0,2400027136
498.68,65.55,0x0,2400030464
500.7,65.0,0x0,2400033792
502.72,66.1,0x0,2400027136
504.75,66.1,0x0,2400033792
506.78,65.0,0x0,2400020480
508.79,65.0,0x0,2400027136
510.84,65.55,0x0,2400033792
512.86,66.1,0x0,2400030464
514.93,65.55,0x0,2400027136
516.94,66.1,0x0,2400023808
518.99,66.1,0x0,2400030464
521.02,66.1,0x0,2400030464
523.05,66.1,0x0,2400020480
525.08,65.0,0x0,2400027136
527.24,65.55,0x0,2400033792
529.39,65.0,0x0,2400017408
531.4,65.55,0x0,2400020480
533.53,65.0,0x0,2400020480
535.63,66.1,0x0,2400033792
537.74,66.65,0x0,2400017408
539.74,65.55,0x0,2400033792
541.85,64.45,0x0,2400017408
543.95,67.2,0x0,2400037120
546.08,65.55,0x0,2400033792
548.17,65.55,0x0,2400037120
550.3,65.55,0x0,2400020480
552.31,66.1,0x0,2400030464
554.34,66.65,0x0,2400017408
556.35,65.0,0x0,2400017408
558.49,66.1,0x0,2400033792
560.52,66.1,0x0,2400033792
562.54,66.65,0x0,2400027136
564.63,66.1,0x0,2400020480
566.72,65.55,0x0,2400020480
568.88,66.65,0x0,2400030464
570.94,66.1,0x0,2400030464
572.96,65.55,0x0,2400020480
574.98,66.65,0x0,2400020480
577.14,65.0,0x0,2400033792
579.29,66.65,0x0,2400033792
581.39,66.1,0x0,2400030464
583.51,65.55,0x0,2400033792
585.58,65.55,0x0,2400027136
587.59,66.65,0x0,2400027136
589.72,65.55,0x0,2400033792
591.83,66.1,0x0,2400030464
593.93,65.0,0x0,2400037120
595.97,66.1,0x0,2400020480
598.07,66.1,0x0,2400030464
600.22,67.2,0x0,2400030464
602.35,65.55,0x0,2400033792
604.5,65.55,0x0,2400030464
606.59,66.1,0x0,2400033792
608.72,67.2,0x0,2400017408
610.87,66.65,0x0,2400017408
612.98,67.2,0x0,2400030464
615.07,67.2,0x0,2400033792
617.17,66.1,0x0,2400020480
619.3,67.2,0x0,2400027136
621.33,66.1,0x0,2400033792
623.34,66.65,0x0,2400033792
625.36,65.55,0x0,2400033792
627.39,66.65,0x0,2400030464
629.54,65.55,0x0,2400020480
631.56,66.65,0x0,2400037120
633.71,66.1,0x0,2400027136
635.74,66.65,0x0,2400030464
637.88,66.65,0x0,2400017408
640.04,67.2,0x0,2400030464
642.17,65.55,0x0,2400020480
644.3,65.0,0x0,2400030464
646.46,67.2,0x0,2400030464
648.59,66.1,0x0,2400023808
650.71,66.65,0x0,2400030464
652.85,66.65,0x0,2400020480
654.97,66.65,0x0,2400030464
657.09,66.65,0x0,2400030464
659.11,65.55,0x0,2400033792
661.27,65.0,0x0,2400033792
