t_s,temp_c,throttled_hex,arm_hz
328.73,56.75,0x0,2400033792
330.73,56.75,0x0,2400020480
332.74,56.75,0x0,2400030464
334.74,56.75,0x0,2400030464
336.75,56.2,0x0,2400030464
338.75,56.75,0x0,2400020480
340.76,57.85,0x0,2400027136
342.77,57.85,0x0,2400033792
344.77,57.3,0x0,2400020480
346.78,57.3,0x0,2400027136
348.78,56.75,0x0,2400033792
350.78,57.85,0x0,2400033792
352.79,56.75,0x0,2400027136
354.79,57.85,0x0,2400027136
356.8,57.3,0x0,2400030464
358.81,56.75,0x0,2400027136
360.81,57.3,0x0,2400037120
362.82,56.75,0x0,2400017408
364.82,56.75,0x0,2400033792
366.83,56.75,0x0,2400020480
368.83,57.85,0x0,2400020480
370.83,57.3,0x0,2400027136
372.83,57.85,0x0,2400020480
374.84,57.3,0x0,2400020480
376.84,57.85,0x0,2400030464
378.84,57.85,0x0,2400030464
380.85,57.3,0x0,2400033792
382.85,57.85,0x0,2400033792
384.86,57.85,0x0,2400030464
386.86,57.85,0x0,2400033792
388.87,57.85,0x0,2400037120
390.87,57.3,0x0,2400030464
392.88,57.85,0x0,2400030464
394.89,57.85,0x0,2400033792
396.89,57.3,0x0,2400030464
398.89,56.75,0x0,2400017408
400.9,57.85,0x0,2400033792
402.91,58.4,0x0,2400020480
404.91,56.75,0x0,2400027136
406.91,57.3,0x0,2400030464
408.92,57.3,0x0,2400030464
410.92,56.75,0x0,2400033792
412.93,57.85,0x0,2400027136
414.93,56.75,0x0,2400027136
416.94,57.3,0x0,2400030464
418.94,57.3,0x0,2400027136
420.94,56.75,0x0,2400037120
422.95,57.3,0x0,2400020480
424.95,58.4,0x0,2400020480
426.95,58.4,0x0,2400027136
428.95,57.3,0x0,2400037120
430.96,58.4,0x0,2400027136
432.96,57.85,0x0,2400020480
434.97,58.4,0x0,2400027136
436.97,57.85,0x0,2400033792
438.98,58.4,0x0,2400023808
440.98,57.85,0x0,2400033792
442.99,58.4,0x0,2400033792
444.99,58.4,0x0,2400033792
446.99,57.3,0x0,2400020480
448.99,57.3,0x0,2400023808
451.0,56.75,0x0,2400037120
453.01,58.4,0x0,2400030464
455.01,58.4,0x0,2400033792
457.02,57.3,0x0,2400037120
459.02,57.85,0x0,2400020480
461.02,57.3,0x0,2400020480
463.03,58.4,0x0,2400033792
465.04,58.4,0x0,2400023808
467.05,57.3,0x0,2400027136
469.05,57.85,0x0,2400020480
471.05,57.85,0x0,2400033792
473.06,56.75,0x0,2400017408
475.06,57.3,0x0,2400027136
477.06,57.85,0x0,2400030464
479.07,57.3,0x0,2400027136
481.07,58.4,0x0,2400027136
483.08,58.4,0x0,2400030464
485.08,57.3,0x0,2400033792
487.09,57.85,0x0,2400027136
489.09,58.4,0x0,2400017408
491.1,57.85,0x0,2400027136
493.1,57.85,0x0,2400037120
495.1,56.75,0x0,2400017408
497.11,58.4,0x0,2400020480
499.11,57.85,0x0,2400037120
501.11,58.95,0x0,2400030464
503.12,57.85,0x0,2400033792
505.13,57.3,0x0,2400030464
507.13,57.3,0x0,2400030464
509.14,57.85,0x0,2400027136
511.14,57.85,0x0,2400030464
513.15,58.4,0x0,2400027136
515.16,57.85,0x0,2400030464
517.16,58.4,0x0,2400030464
519.17,57.85,0x0,2400030464
521.17,58.4,0x0,2400020480
523.18,58.4,0x0,2400027136
