t_s,temp_c,throttled_hex,arm_hz
376.35,57.3,0x0,2400027136
378.37,58.4,0x0,2400030464
380.38,58.4,0x0,2400020480
382.38,57.3,0x0,2400027136
384.4,57.85,0x0,2400027136
386.41,57.85,0x0,2400027136
388.42,56.75,0x0,2400030464
390.42,57.85,0x0,2400037120
392.43,58.95,0x0,2400030464
394.43,58.95,0x0,2400027136
396.43,58.4,0x0,2400027136
398.46,57.3,0x0,2400020480
400.46,57.3,0x0,2400027136
402.48,56.75,0x0,2400027136
404.5,58.4,0x0,2400033792
406.52,56.75,0x0,2400027136
408.54,58.4,0x0,2400027136
410.57,57.85,0x0,2400033792
412.58,57.85,0x0,2400027136
414.6,58.4,0x0,2400027136
416.61,58.4,0x0,2400027136
418.63,58.95,0x0,2400020480
420.65,57.85,0x0,2400033792
422.65,57.3,0x0,2400033792
424.67,57.85,0x0,2400030464
426.68,57.85,0x0,2400020480
428.7,58.4,0x0,2400017408
430.71,56.75,0x0,2400030464
432.73,57.85,0x0,2400030464
434.75,57.85,0x0,2400030464
436.77,57.85,0x0,2400020480
438.78,57.85,0x0,2400037120
440.79,58.4,0x0,2400020480
442.81,57.3,0x0,2400033792
444.83,57.85,0x0,2400033792
446.83,57.85,0x0,2400020480
448.85,57.85,0x0,2400027136
450.87,57.85,0x0,2400027136
452.89,58.4,0x0,2400020480
454.91,57.3,0x0,2400033792
456.93,57.3,0x0,2400030464
458.94,57.85,0x0,2400030464
460.97,57.85,0x0,2400020480
462.99,57.85,0x0,2400027136
465.0,58.4,0x0,2400020480
467.01,58.4,0x0,2400033792
469.02,57.3,0x0,2400033792
471.03,58.4,0x0,2400027136
473.03,58.4,0x0,2400030464
475.03,58.4,0x0,2400033792
477.04,58.4,0x0,2400020480
479.06,58.4,0x0,2400027136
481.07,58.4,0x0,2400020480
483.07,58.4,0x0,2400030464
485.09,57.3,0x0,2400030464
487.09,58.4,0x0,2400020480
489.1,57.3,0x0,2400027136
491.11,57.85,0x0,2400027136
493.14,57.85,0x0,2400033792
495.14,58.4,0x0,2400020480
497.15,56.75,0x0,2400023808
499.17,57.85,0x0,2400027136
501.18,57.3,0x0,2400037120
503.19,57.3,0x0,2400020480
505.2,58.4,0x0,2400027136
507.2,57.85,0x0,2400033792
509.23,58.4,0x0,2400030464
511.24,57.3,0x0,2400033792
513.26,56.75,0x0,2400027136
515.26,57.3,0x0,2400017408
517.28,57.85,0x0,2400033792
519.28,57.85,0x0,2400027136
521.28,58.4,0x0,2400020480
523.28,58.4,0x0,2400030464
525.29,57.3,0x0,2400027136
527.29,57.85,0x0,2400027136
529.31,56.75,0x0,2400017408
531.33,58.4,0x0,2400017408
533.35,57.85,0x0,2400020480
535.36,56.75,0x0,2400027136
537.37,57.85,0x0,2400020480
539.37,58.4,0x0,2400020480
541.38,58.4,0x0,2400033792
543.38,57.85,0x0,2400020480
545.4,57.85,0x0,2400033792
547.43,57.85,0x0,2400030464
549.43,57.3,0x0,2400030464
551.46,58.4,0x0,2400027136
553.48,58.4,0x0,2400027136
555.49,58.4,0x0,2400020480
557.51,57.3,0x0,2400017408
559.52,57.3,0x0,2400033792
561.54,57.85,0x0,2400027136
563.55,57.3,0x0,2400030464
565.55,58.4,0x0,2400033792
567.57,58.4,0x0,2400027136
569.59,56.75,0x0,2400020480
571.6,57.3,0x0,2400030464
573.61,57.85,0x0,2400030464
575.63,56.75,0x0,2400027136
577.64,57.3,0x0,2400020480
579.65,56.75,0x0,2400027136
581.66,57.3,0x0,2400017408
583.68,58.95,0x0,2400030464
585.7,58.4,0x0,2400027136
587.71,57.3,0x0,2400017408
589.71,57.85,0x0,2400033792
591.72,57.3,0x0,2400027136
593.74,56.75,0x0,2400020480
595.75,57.85,0x0,2400030464
597.76,57.3,0x0,2400020480
599.78,58.4,0x0,2400037120
601.8,57.85,0x0,2400020480
603.81,58.4,0x0,2400020480
605.82,58.4,0x0,2400020480
607.82,57.85,0x0,2400030464
609.83,57.3,0x0,2400027136
611.85,58.4,0x0,2400030464
613.86,57.85,0x0,2400027136
615.86,58.4,0x0,2400030464
617.88,57.3,0x0,2400033792
619.89,58.4,0x0,2400030464
621.89,57.85,0x0,2400017408
623.89,57.85,0x0,2400027136
625.9,58.95,0x0,2400020480
627.91,56.75,0x0,2400033792
629.94,57.3,0x0,2400030464
631.95,58.4,0x0,2400027136
633.97,57.3,0x0,2400020480
635.98,58.4,0x0,2400020480
637.99,57.85,0x0,2400030464
639.99,57.3,0x0,2400033792
642.01,57.85,0x0,2400030464
644.01,57.3,0x0,2400020480
646.03,57.85,0x0,2400030464
648.05,57.3,0x0,2400030464
650.07,56.75,0x0,2400020480
