phase,t_sim,t_phase,pose_t_sim,east_m,north_m,up_m,tilt_deg,lean_bearing_deg
settle,18.3520,0.0000,18.3360,-0.0427,0.0271,5.2745,0.0713,60.176
settle,18.4440,0.0920,18.4440,-0.0435,0.0259,5.3056,0.1193,33.596
settle,18.5240,0.1720,18.5240,-0.0440,0.0251,5.3249,0.1705,27.104
settle,18.6120,0.2600,18.6080,-0.0444,0.0245,5.3447,0.2251,22.954
settle,18.6960,0.3440,18.6920,-0.0447,0.0242,5.3660,0.2687,19.777
settle,18.8000,0.4480,18.7920,-0.0448,0.0243,5.3942,0.2948,16.232
settle,18.9000,0.5480,18.8920,-0.0447,0.0249,5.4247,0.2980,10.205
settle,19.0000,0.6480,18.9920,-0.0446,0.0262,5.4557,0.2851,4.357
settle,19.1000,0.7480,19.0920,-0.0444,0.0280,5.4860,0.2640,359.293
settle,19.2040,0.8520,19.1920,-0.0442,0.0302,5.5151,0.2365,355.226
settle,19.3040,0.9520,19.2920,-0.0441,0.0328,5.5425,0.1973,352.549
settle,19.4040,1.0520,19.3920,-0.0441,0.0359,5.5683,0.1426,347.574
settle,19.5040,1.1520,19.4920,-0.0441,0.0391,5.5927,0.0774,334.335
settle,19.6080,1.2560,19.5920,-0.0442,0.0425,5.6156,0.0377,254.109
settle,19.7080,1.3560,19.7080,-0.0444,0.0463,5.6406,0.0991,205.034
settle,19.8080,1.4560,19.8080,-0.0446,0.0493,5.6607,0.1460,195.802
settle,19.9080,1.5560,19.9080,-0.0450,0.0520,5.6795,0.1746,188.413
settle,20.0120,1.6600,20.0080,-0.0454,0.0544,5.6972,0.2009,182.662
settle,20.1120,1.7600,20.1080,-0.0458,0.0563,5.7137,0.2215,177.191
settle,20.2120,1.8600,20.2080,-0.0462,0.0578,5.7291,0.2339,174.093
settle,20.3120,1.9600,20.3080,-0.0465,0.0589,5.7434,0.2445,171.844
settle,20.4160,2.0640,20.4080,-0.0468,0.0595,5.7569,0.2482,171.269
settle,20.5160,2.1640,20.5080,-0.0469,0.0598,5.7695,0.2492,171.486
settle,20.6120,2.2600,20.6000,-0.0470,0.0596,5.7804,0.2451,174.141
settle,20.7000,2.3480,20.6840,-0.0469,0.0591,5.7900,0.2392,178.750
settle,20.8000,2.4480,20.7840,-0.0469,0.0582,5.8007,0.2533,182.769
settle,20.9000,2.5480,20.8840,-0.0469,0.0569,5.8110,0.2633,188.016
settle,21.0000,2.6480,20.9840,-0.0469,0.0551,5.8208,0.2631,193.351
settle,21.1000,2.7480,21.0840,-0.0470,0.0529,5.8302,0.2621,198.343
settle,21.2040,2.8520,21.2040,-0.0474,0.0497,5.8411,0.2470,203.390
settle,21.3040,2.9520,21.3040,-0.0480,0.0466,5.8499,0.2240,205.582
settle,21.4040,3.0520,21.4040,-0.0488,0.0432,5.8584,0.1943,206.153
settle,21.5040,3.1520,21.5000,-0.0497,0.0396,5.8664,0.1568,203.828
settle,21.6080,3.2560,21.6000,-0.0508,0.0357,5.8744,0.1136,195.499
settle,21.7080,3.3560,21.7000,-0.0519,0.0316,5.8820,0.0564,186.249
settle,21.8080,3.4560,21.8000,-0.0529,0.0275,5.8894,0.0123,93.927
settle,21.9120,3.5600,21.9000,-0.0540,0.0233,5.8963,0.0633,37.659
settle,22.0120,3.6600,22.0000,-0.0550,0.0193,5.9029,0.1234,32.718
settle,22.1120,3.7600,22.1000,-0.0558,0.0155,5.9089,0.1855,26.784
settle,22.2120,3.8600,22.2000,-0.0565,0.0120,5.9145,0.2468,22.020
settle,22.3160,3.9640,22.3000,-0.0570,0.0090,5.9196,0.2971,20.978
settle,22.4160,4.0640,22.4000,-0.0572,0.0065,5.9243,0.3376,18.520
settle,22.5120,4.1600,22.5000,-0.0573,0.0047,5.9286,0.3622,15.686
settle,22.6040,4.2520,22.6000,-0.0571,0.0035,5.9328,0.3803,14.344
settle,22.6960,4.3440,22.6840,-0.0569,0.0030,5.9362,0.3869,12.940
settle,22.7960,4.4440,22.7840,-0.0565,0.0031,5.9400,0.3817,12.469
settle,22.8960,4.5440,22.8840,-0.0560,0.0038,5.9436,0.3561,13.908
settle,22.9960,4.6440,22.9840,-0.0554,0.0053,5.9469,0.3173,16.128
settle,23.1000,4.7480,23.0840,-0.0546,0.0072,5.9497,0.2772,17.485
settle,23.2000,4.8480,23.1840,-0.0536,0.0096,5.9522,0.2376,19.332
settle,23.3000,4.9480,23.2840,-0.0525,0.0123,5.9543,0.1861,20.156
settle,23.4000,5.0480,23.3840,-0.0513,0.0154,5.9560,0.1258,22.142
settle,23.5040,5.1520,23.4840,-0.0500,0.0186,5.9575,0.0733,19.447
settle,23.6040,5.2520,23.6040,-0.0484,0.0225,5.9592,0.0042,34.635
settle,23.7040,5.3520,23.7040,-0.0471,0.0258,5.9605,0.0524,193.432
settle,23.8040,5.4520,23.8040,-0.0459,0.0290,5.9618,0.1134,194.870
settle,23.9040,5.5520,23.9040,-0.0447,0.0319,5.9631,0.1683,198.653
settle,24.0040,5.6520,24.0040,-0.0435,0.0344,5.9642,0.2131,202.046
settle,24.1080,5.7560,24.1040,-0.0426,0.0365,5.9652,0.2234,205.801
settle,24.2080,5.8560,24.2040,-0.0418,0.0381,5.9661,0.2155,210.724
settle,24.3080,5.9560,24.3040,-0.0413,0.0393,5.9670,0.2077,216.715
settle,24.4120,6.0600,24.4040,-0.0409,0.0403,5.9679,0.1989,224.426
settle,24.5120,6.1600,24.5040,-0.0408,0.0409,5.9690,0.1817,230.295
settle,24.5960,6.2440,24.5920,-0.0410,0.0414,5.9701,0.1661,234.378
settle,24.6880,6.3360,24.6800,-0.0414,0.0416,5.9713,0.1429,241.468
settle,24.7800,6.4280,24.7680,-0.0420,0.0418,5.9728,0.1134,244.844
settle,24.8760,6.5240,24.8680,-0.0428,0.0421,5.9747,0.0774,238.910
settle,24.9760,6.6240,24.9680,-0.0438,0.0422,5.9768,0.0451,214.217
settle,25.0800,6.7280,25.0680,-0.0449,0.0424,5.9792,0.0502,150.150
settle,25.1800,6.8280,25.1680,-0.0459,0.0424,5.9818,0.0875,130.434
settle,25.2800,6.9280,25.2680,-0.0467,0.0424,5.9845,0.1283,120.996
