arm,theta_max_deg,dh_m,wedge_deg,n_band,band_in_frame,band_centered,band_out_top,band_out_bottom,band_vert_med_deg,band_vert_min_deg,band_vert_max_deg,near_n,near_in_frame,near_out_bottom,loft_peak_descent_ms,loft_peak_av_ms2,heading_deg,dash_speed
loft,30,4,30,6,1.0,1.0,0.0,0.0,-6.01,-12.45,-1.02,6,0.1667,0.8333,3.7,6.82,144.37,16.0
flat,20,0,0,8,1.0,1.0,0.0,0.0,18.94,18.68,19.07,6,0.3333,0.0,-0.0,0.0,144.37,16.0
flat,20,0,10,8,1.0,1.0,0.0,0.0,8.94,8.68,9.07,6,0.3333,0.0,-0.0,0.0,144.37,16.0
flat,20,0,20,8,1.0,1.0,0.0,0.0,-1.06,-1.32,-0.93,6,0.3333,0.0,-0.0,0.0,144.37,16.0
flat,20,0,25,8,1.0,1.0,0.0,0.0,-6.06,-6.32,-5.93,6,0.3333,0.0,-0.0,0.0,144.37,16.0
flat,20,0,30,8,1.0,1.0,0.0,0.0,-11.06,-11.32,-10.93,6,0.3333,0.0,-0.0,0.0,144.37,16.0
loft,20,2,0,8,1.0,1.0,0.0,0.0,14.27,12.03,16.27,7,0.2857,0.1429,1.85,3.41,144.37,16.0
loft,20,2,10,8,1.0,1.0,0.0,0.0,4.27,2.03,6.27,6,0.3333,0.0,1.85,3.41,144.37,16.0
loft,20,2,20,8,1.0,1.0,0.0,0.0,-5.73,-7.97,-3.73,6,0.3333,0.0,1.85,3.41,144.37,16.0
loft,20,2,25,8,1.0,1.0,0.0,0.0,-10.73,-12.97,-8.73,6,0.3333,0.0,1.85,3.41,144.37,16.0
loft,20,2,30,8,1.0,1.0,0.0,0.0,-15.73,-17.97,-13.73,6,0.3333,0.0,1.85,3.41,144.37,16.0
loft,20,3,0,8,1.0,1.0,0.0,0.0,12.31,8.82,15.88,7,0.2857,0.1429,2.77,5.11,144.37,16.0
loft,20,3,10,8,1.0,1.0,0.0,0.0,2.31,-1.18,5.88,6,0.3333,0.0,2.77,5.11,144.37,16.0
loft,20,3,20,8,1.0,1.0,0.0,0.0,-7.69,-11.18,-4.12,6,0.3333,0.0,2.77,5.11,144.37,16.0
loft,20,3,25,8,1.0,1.0,0.0,0.0,-12.69,-16.18,-9.12,6,0.3333,0.0,2.77,5.11,144.37,16.0
loft,20,3,30,8,1.0,1.0,0.0,0.0,-17.69,-21.18,-14.12,6,0.3333,0.0,2.77,5.11,144.37,16.0
loft,20,4,0,8,1.0,1.0,0.0,0.0,10.66,5.67,16.48,7,0.2857,0.1429,3.7,6.82,144.37,16.0
loft,20,4,10,8,1.0,1.0,0.0,0.0,0.66,-4.33,6.48,6,0.3333,0.0,3.7,6.82,144.37,16.0
loft,20,4,20,8,1.0,1.0,0.0,0.0,-9.34,-14.33,-3.52,6,0.3333,0.0,3.7,6.82,144.37,16.0
loft,20,4,25,8,1.0,1.0,0.0,0.0,-14.34,-19.33,-8.52,6,0.3333,0.0,3.7,6.82,144.37,16.0
loft,20,4,30,8,1.0,1.0,0.0,0.0,-19.34,-24.33,-13.52,6,0.3333,0.1667,3.7,6.82,144.37,16.0
flat,15,0,0,8,1.0,1.0,0.0,0.0,13.82,13.55,13.96,6,0.1667,0.0,-0.0,0.0,144.37,16.0
flat,15,0,10,8,1.0,1.0,0.0,0.0,3.82,3.55,3.96,6,0.1667,0.0,-0.0,0.0,144.37,16.0
flat,15,0,20,8,1.0,1.0,0.0,0.0,-6.18,-6.45,-6.04,6,0.1667,0.0,-0.0,0.0,144.37,16.0
flat,15,0,25,8,1.0,1.0,0.0,0.0,-11.18,-11.45,-11.04,6,0.1667,0.0,-0.0,0.0,144.37,16.0
flat,15,0,30,8,1.0,1.0,0.0,0.0,-16.18,-16.45,-16.04,6,0.1667,0.0,-0.0,0.0,144.37,16.0
loft,15,2,0,8,1.0,1.0,0.0,0.0,8.83,7.34,10.29,6,0.1667,0.0,1.85,3.41,144.37,16.0
loft,15,2,10,8,1.0,1.0,0.0,0.0,-1.17,-2.66,0.29,6,0.1667,0.0,1.85,3.41,144.37,16.0
loft,15,2,20,8,1.0,1.0,0.0,0.0,-11.17,-12.66,-9.71,6,0.1667,0.0,1.85,3.41,144.37,16.0
loft,15,2,25,8,1.0,1.0,0.0,0.0,-16.17,-17.66,-14.71,6,0.1667,0.0,1.85,3.41,144.37,16.0
loft,15,2,30,8,1.0,1.0,0.0,0.0,-21.17,-22.66,-19.71,6,0.1667,0.0,1.85,3.41,144.37,16.0
loft,15,3,0,9,1.0,1.0,0.0,0.0,5.91,3.93,9.32,6,0.1667,0.0,2.77,5.11,144.37,16.0
loft,15,3,10,9,1.0,1.0,0.0,0.0,-4.09,-6.07,-0.68,6,0.1667,0.0,2.77,5.11,144.37,16.0
loft,15,3,20,9,1.0,1.0,0.0,0.0,-14.09,-16.07,-10.68,6,0.1667,0.0,2.77,5.11,144.37,16.0
loft,15,3,25,9,1.0,1.0,0.0,0.0,-19.09,-21.07,-15.68,6,0.1667,0.0,2.77,5.11,144.37,16.0
loft,15,3,30,9,1.0,0.6667,0.0,0.0,-24.09,-26.07,-20.68,6,0.1667,0.0,2.77,5.11,144.37,16.0
loft,15,4,0,8,1.0,1.0,0.0,0.0,3.59,0.85,7.54,5,0.0,0.0,3.7,6.82,144.37,16.0
loft,15,4,10,8,1.0,1.0,0.0,0.0,-6.41,-9.15,-2.46,5,0.0,0.0,3.7,6.82,144.37,16.0
loft,15,4,20,8,1.0,1.0,0.0,0.0,-16.41,-19.15,-12.46,5,0.0,0.0,3.7,6.82,144.37,16.0
loft,15,4,25,8,1.0,1.0,0.0,0.0,-21.41,-24.15,-17.46,5,0.0,0.0,3.7,6.82,144.37,16.0
loft,15,4,30,8,1.0,0.25,0.0,0.0,-26.41,-29.15,-22.46,5,0.0,0.0,3.7,6.82,144.37,16.0
